timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-04-15,10.0,10.3,8.0,9.25,48437.64,1618531199999,448619.165,4121,35094.15,325110.5893,0
2021-04-16,9.29,11.37,9.09,10.47,15531.82,1618617599999,157956.796,1418,11164.67,113566.0214,0
2021-04-17,10.59,10.61,7.78,7.96,56762.32,1618703999999,531235.7798,3840,36092.11,343187.7314,0
2021-04-18,8.05,17.08,7.29,8.58,579464.35,1618790399999,6161340.3255,6815,312079.86,3264995.3464,0
2021-04-19,8.45,10.7,7.82,10.12,47697.31,1618876799999,442818.7683,2251,34254.39,318753.2833,0
2021-04-20,10.12,12.06,7.61,8.36,117800.67,1618963199999,1123226.075,5004,78304.02,742777.4893,0
2021-04-21,8.26,8.91,7.29,8.09,97875.12,1619049599999,784056.0136,3011,59796.39,478846.8843,0
2021-04-22,8.03,9.98,7.12,9.69,56461.16,1619135999999,464873.1042,2103,39436.96,325583.1126,0
2021-04-23,9.59,14.92,9.32,10.72,326996.97,1619222399999,3951889.2195,7916,184102.53,2233958.2484,0
2021-04-24,10.74,13.3,10.74,13.09,162808.37,1619308799999,2009528.4745,4329,115988.47,1423442.0855,0
2021-04-25,13.09,13.99,10.23,11.99,69703.67,1619395199999,852150.8937,2634,44510.52,545266.0494,0
2021-04-26,11.86,12.16,8.38,8.52,86167.11,1619481599999,810043.111,3090,48074.11,449003.907,0
2021-04-27,8.47,8.9,6.21,6.35,140965.28,1619567999999,1003394.7355,3954,88116.39,626048.0823,0
2021-04-28,6.34,7.56,4.55,4.97,777218.48,1619654399999,4187953.5969,12263,475617.26,2567327.0402,0
2021-04-29,4.96,5.56,4.32,5.11,611224.34,1619740799999,2980528.9429,7903,372412.27,1821843.6929,0
2021-04-30,5.06,5.33,4.46,4.69,174755.79,1619827199999,855472.4134,3832,109705.73,536553.1446,0
2021-05-01,4.72,5.28,4.53,5.0,170480.28,1619913599999,840798.2281,2907,120526.87,592938.8149,0
2021-05-02,5.0,5.85,5.0,5.35,131233.82,1619999999999,706348.4362,2866,84475.47,454307.7382,0
2021-05-03,5.35,5.36,4.04,4.2,603564.7,1620086399999,2650378.4797,5028,345249.5,1517977.9873,0
2021-05-04,4.19,5.1,3.63,4.78,1493976.51,1620172799999,6089092.2069,10707,908670.07,3708129.5152,0
2021-05-05,4.8,4.84,3.0,3.36,730046.06,1620259199999,2551342.7844,7637,418429.1,1457432.5483,0
2021-05-06,3.36,3.46,1.99,2.66,6416394.57,1620345599999,15460525.9423,24189,3643607.07,8778914.4796,0
2021-05-07,2.67,3.0,2.12,2.64,2949596.34,1620431999999,7242785.208,13032,1706017.41,4176099.2259,0
2021-05-08,2.63,2.74,1.61,1.78,6852564.98,1620518399999,13270762.7271,26445,4058863.4,7836570.414,0
2021-05-09,1.78,2.29,1.78,1.89,5757107.51,1620604799999,11545013.0735,24926,3525542.37,7065351.3021,0
2021-05-10,1.89,3.35,1.84,2.56,2717525.05,1620691199999,6652463.0115,12853,1655802.96,3998275.1891,0
2021-05-11,2.56,2.94,2.17,2.17,2207867.8,1620777599999,5559407.6837,10938,1297176.36,3252223.4259,0
2021-05-12,2.17,3.23,1.79,3.07,5852922.0,1620863999999,12793356.3875,21991,3536242.11,7662302.757,0
2021-05-13,3.07,3.62,2.39,3.05,3001929.38,1620950399999,9292011.4706,16483,1716725.9,5305609.8209,0
2021-05-14,3.05,3.22,2.57,2.84,938258.53,1621036799999,2697560.3536,7247,560105.1,1607774.2808,0
2021-05-15,2.85,3.53,2.42,3.52,1998497.21,1621123199999,5619535.1267,11642,1146517.12,3213843.7452,0
2021-05-16,3.51,4.49,2.92,3.33,1077912.58,1621209599999,3914644.9483,10338,604469.8,2210227.2956,0
2021-05-17,3.32,4.52,2.88,3.44,2086889.07,1621295999999,7169554.1006,16774,1144393.12,3930651.4367,0
2021-05-18,3.43,3.53,2.27,2.44,2488633.7,1621382399999,6833624.7198,16097,1423271.38,3900149.3046,0
2021-05-19,2.45,2.49,2.24,2.44,268057.37,1621468799999,626818.2504,1078,161518.37,376640.469,0
2021-05-19 00:00:00,2.45,22.0,1.75,2.65,12567856.99,1621468799999,91741645.106,37886,7053456.28,48788628.9066,0
2021-05-20 00:00:00,2.64,3.7,1.6,1.628,4590620.12,1621555199999,10611133.43784,20548,2645835.4,6074462.19682,0
2021-05-20 00:00:00,2.64000000,3.70000000,1.40700000,1.75100000,6729093.94000000,1621555199999,14328781.17286000,33996,3835903.56000000,8149352.95106000,0
2021-05-21 00:00:00,1.72900000,2.78400000,1.43500000,2.57900000,2497304.12000000,1621641599999,4968035.20917000,16945,1450180.52000000,2885776.43328000,0
