timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-05-08,3e-06,0.0001,9.5e-07,1.004e-05,3220627289.0,1525823999999,48396.45292992,683457,1555966461.0,23474.0440149,0
2018-05-09,1.005e-05,1.006e-05,1.54e-06,1.73e-06,16157689785.0,1525910399999,38952.42621096,456236,7341618484.0,17679.94167124,0
2018-05-10,1.73e-06,1.74e-06,1.26e-06,1.34e-06,7215289708.0,1525996799999,10599.29363237,182638,3361617208.0,4941.67420576,0
2018-05-11,1.34e-06,1.38e-06,1.14e-06,1.18e-06,4741237675.0,1526083199999,5835.66254349,99878,2138534916.0,2638.83351027,0
2018-05-12,1.18e-06,1.2e-06,1.03e-06,1.12e-06,2990392789.0,1526169599999,3313.67069792,77567,1406198944.0,1560.93557457,0
2018-05-13,1.11e-06,1.5e-06,1.06e-06,1.38e-06,8953791011.0,1526255999999,11574.7544724,142635,4683381863.0,6052.87247024,0
2018-05-14,1.38e-06,1.53e-06,1.31e-06,1.46e-06,5833843731.0,1526342399999,8259.26207439,130323,2889706161.0,4109.38589067,0
2018-05-15,1.47e-06,1.48e-06,1.2e-06,1.24e-06,4721041921.0,1526428799999,6140.59162578,103021,1937558852.0,2516.66776283,0
2018-05-16,1.24e-06,1.31e-06,1.22e-06,1.23e-06,1707724516.0,1526515199999,2139.64887683,45446,796378664.0,1002.03573082,0
2018-05-17,1.23e-06,1.25e-06,1.12e-06,1.13e-06,1703695550.0,1526601599999,2004.97315712,45070,611697692.0,721.24644669,0
2018-05-18,1.12e-06,1.18e-06,1.1e-06,1.12e-06,1165198526.0,1526687999999,1315.92246989,34110,488696604.0,554.47628168,0
2018-05-19,1.12e-06,1.14e-06,1.07e-06,1.08e-06,895840340.0,1526774399999,981.57095387,27528,357076734.0,392.70114773,0
2018-05-20,1.09e-06,1.18e-06,1.05e-06,1.12e-06,1765803300.0,1526860799999,1951.78658456,38167,869825244.0,966.47685384,0
2018-05-21,1.11e-06,1.13e-06,1.05e-06,1.06e-06,1350464047.0,1526947199999,1465.94674085,35842,530962180.0,578.98122443,0
2018-05-22,1.06e-06,1.07e-06,9.8e-07,1e-06,1611476728.0,1527033599999,1648.45711968,31424,610604846.0,626.54360649,0
2018-05-23,1e-06,1e-06,8.8e-07,9.1e-07,2574733433.0,1527119999999,2413.13146491,40722,1015545256.0,953.34305184,0
2018-05-24,9.2e-07,9.7e-07,8.9e-07,9.4e-07,1338332187.0,1527206399999,1242.18342856,28996,599923946.0,559.56438796,0
2018-05-25,9.4e-07,9.5e-07,9e-07,9.2e-07,602957750.0,1527292799999,556.7863885,17783,254630348.0,235.89579671,0
2018-05-26,9.2e-07,9.2e-07,8.7e-07,8.8e-07,813969212.0,1527379199999,727.49015502,23083,330339810.0,296.22789535,0
2018-05-27,8.7e-07,8.9e-07,7.9e-07,8.2e-07,1599588489.0,1527465599999,1331.4669461,26205,657380649.0,547.55989044,0
2018-05-28,8.3e-07,8.3e-07,7.2e-07,7.3e-07,1578386760.0,1527551999999,1205.33418034,29416,665696838.0,509.53561183,0
2018-05-29,7.2e-07,9.9e-07,7.1e-07,9.3e-07,5224949349.0,1527638399999,4528.9015305,63865,2818475989.0,2445.18942983,0
2018-05-30,9.3e-07,9.6e-07,8.2e-07,8.9e-07,3970581539.0,1527724799999,3537.49221386,50721,1787539950.0,1601.22141553,0
2018-05-31,8.9e-07,9.6e-07,8.4e-07,9.1e-07,2246487397.0,1527811199999,2023.30258425,34475,1046434970.0,946.72430853,0
