timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-08-11,11824.55,13999.0,3001.0,11310.81,62.782012,1597190399999,704450.17630952,7103,55.228249,623868.32633335,0
2020-08-12,11311.22,11996.23,7520.0,11442.5,41.516761,1597276799999,465065.21278313,4329,26.098933,294503.64479746,0
2020-08-13,11377.91,11599.0,10800.0,11574.95,18.598423,1597363199999,210337.02087573,674,9.954541,112742.00396748,0
2020-08-14,11612.91,11785.72,11492.69,11697.93,26.107467,1597449599999,303619.44706719,911,13.971792,162345.17506589,0
2020-08-15,11649.44,11891.23,11649.44,11703.65,15.182614,1597535999999,178860.5584027,490,10.550394,124315.73233271,0
2020-08-16,11750.55,11832.36,11607.22,11813.93,12.639621,1597622399999,148133.89684359,356,6.668064,78234.70027603,0
2020-08-17,11813.97,12365.0,11667.12,12248.57,21.488103,1597708799999,257681.70169727,411,12.184084,146158.25571518,0
2020-08-18,12225.74,12360.0,11800.0,11906.61,17.435969,1597795199999,210646.32884712,342,7.169386,86466.40107305,0
2020-08-19,11902.93,11949.76,11478.54,11689.18,24.946874,1597881599999,291827.88679079,502,12.302234,144010.14874516,0
2020-08-20,11700.0,11842.03,11624.69,11789.59,20.084079,1597967999999,235673.47755428,495,10.453065,122756.7718712,0
2020-08-21,11820.03,11832.74,11410.0,11437.23,28.225122,1598054399999,328883.75224566,676,11.940254,139186.6516719,0
2020-08-22,11444.15,11641.44,11294.29,11641.44,28.282472,1598140799999,324333.50880019,683,14.198296,163070.26193927,0
2020-08-23,11634.96,11653.66,11470.0,11598.33,21.606422,1598227199999,249699.88850637,427,9.478384,109667.05871669,0
2020-08-24,11596.92,11742.23,11475.79,11590.99,21.199292,1598313599999,245987.1771753,446,9.416081,109249.46130834,0
2020-08-25,11583.49,11597.38,10977.81,11183.08,27.900794,1598399999999,314193.38394487,634,14.425574,162583.45243074,0
2020-08-26,11161.15,11388.0,11086.72,11322.68,31.855027,1598486399999,358920.24757553,447,18.014755,202609.63936413,0
2020-08-27,11318.17,11401.92,10982.67,11139.39,32.148166,1598572799999,359755.9143253,588,20.169618,226064.04123857,0
2020-08-28,11157.93,11398.87,11123.01,11368.2,26.102509,1598659199999,295178.71559189,419,9.808335,110994.13880601,0
2020-08-29,11394.06,11434.06,11280.21,11338.85,16.175464,1598745599999,183471.96999092,499,8.958043,101713.50091175,0
2020-08-30,11329.92,11526.11,11329.92,11526.11,24.12818,1598831999999,276000.55318538,665,11.744499,134485.74068686,0
2020-08-31,11526.11,11600.0,11387.44,11476.69,40.501856,1598918399999,467239.57178008,700,27.33827,315607.92836237,0
2020-09-01,11477.66,11872.1,11393.61,11752.78,95.486389,1599004799999,1117224.1159968,2001,74.939107,876588.46547769,0
2020-09-02,11756.09,11782.3,11066.41,11305.44,67.41025,1599091199999,767238.02998064,1014,49.117481,558457.61688415,0
2020-09-03,11295.65,11362.8,9950.0,10094.63,76.361937,1599177599999,833847.02577834,1611,40.612854,446458.88977899,0
2020-09-04,10102.91,10415.0,9550.0,10285.79,91.886573,1599263999999,928210.27235344,1897,45.367153,459280.78559398,0
2020-09-05,10265.89,10340.42,9747.45,10003.25,113.537774,1599350399999,1141082.97616816,2285,49.889776,502296.35669871,0
