timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-01-05,1.588,4.12,1.588,2.5765,17193301.34,1609891199999,48608189.948299,134645,8719766.59,24682983.020038,0
2021-01-06,2.5765,2.6909,2.2032,2.302,2898056.48,1609977599999,7021177.071109,19524,1356144.59,3299253.003659,0
2021-01-07,2.3183,2.51,2.1155,2.2091,1626050.6,1610063999999,3622275.456087,9684,799729.42,1789952.212438,0
2021-01-08,2.2102,2.49,2.0,2.2961,1366575.49,1610150399999,3083277.636307,7844,754213.98,1713531.109817,0
2021-01-09,2.3001,2.3714,2.1536,2.2937,406013.31,1610236799999,904377.38544,2603,164694.03,368642.037887,0
2021-01-10,2.2899,2.3,2.0911,2.14,300757.93,1610323199999,664250.8293,2147,118649.22,261407.24206,0
2021-01-11,2.1534,2.1798,1.755,1.9482,470423.55,1610409599999,914862.773774,3592,199188.18,386092.876301,0
2021-01-12,1.946,2.1334,1.8607,1.957,310354.67,1610495999999,626292.366359,1845,145831.23,295307.854213,0
2021-01-13,1.9713,2.1499,1.9099,2.0711,397390.02,1610582399999,815073.74446,1963,198624.58,409145.921724,0
2021-01-14,2.0929,2.2432,2.0556,2.0974,334830.83,1610668799999,712307.026198,2670,187313.83,399757.991391,0
2021-01-15,2.0989,2.168,1.9,2.0,299975.19,1610755199999,615219.881648,1935,164253.72,339784.574958,0
2021-01-16,2.0125,2.2323,2.0001,2.0678,428586.51,1610841599999,901437.375679,2840,174450.27,367718.681148,0
2021-01-17,2.067,2.1946,2.0228,2.125,346601.39,1610927999999,728586.227195,2461,133753.2,281367.446592,0
2021-01-18,2.125,2.45,2.0683,2.2371,1582184.21,1611014399999,3562875.963754,9146,702198.3,1584209.51717,0
2021-01-19,2.2488,2.253,2.14,2.1608,725645.4,1611100799999,1595649.933027,4506,297511.49,654725.149149,0
2021-01-20,2.1608,2.6397,2.1,2.2784,2898212.37,1611187199999,6730461.570844,13870,1422546.27,3320465.476716,0
