timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-03-13,0.51110000,1.09000000,0.51110000,0.60230000,28989375.57000000,1615679999999,20670965.08189400,62253,14192305.29000000,10185025.38888700,0
2021-03-14,0.60210000,0.75940000,0.56770000,0.65240000,37689013.96000000,1615766399999,24708325.69325900,85690,17240090.21000000,11332405.33131100,0
2021-03-15,0.65240000,0.68720000,0.58510000,0.60630000,31396768.30000000,1615852799999,19700324.19999000,60018,15351912.06000000,9639104.02804200,0
2021-03-16,0.60630000,0.61350000,0.47100000,0.52020000,48443310.48000000,1615939199999,26363298.34661700,72606,22810318.62000000,12452708.06640800,0
2021-03-17,0.52060000,0.61800000,0.47950000,0.58130000,49258883.27000000,1616025599999,27218962.10800100,84428,24024907.38000000,13311989.13819800,0
2021-03-18,0.58070000,0.67320000,0.56460000,0.63890000,39976986.52000000,1616111999999,24700978.95377400,88567,20455799.64000000,12641069.91231800,0
2021-03-19,0.63760000,0.72000000,0.58630000,0.60490000,31092372.17000000,1616198399999,20061133.94608700,75616,14418945.66000000,9356040.36975600,0
2021-03-20,0.60550000,0.61710000,0.53480000,0.54410000,16000374.47000000,1616284799999,9316689.96275500,40359,6803604.60000000,3963017.55337100,0
2021-03-21,0.54500000,0.60000000,0.53200000,0.55550000,15162796.97000000,1616371199999,8539495.02979700,40233,8124682.16000000,4568118.03709600,0
2021-03-22,0.55490000,0.56450000,0.49460000,0.50800000,14253298.57000000,1616457599999,7614024.10457400,32114,6139987.50000000,3285408.84321300,0
2021-03-23,0.50880000,0.53740000,0.47500000,0.50770000,17494653.22000000,1616543999999,8947944.47390500,41932,8779763.66000000,4498064.89344200,0
2021-03-24,0.50760000,0.56060000,0.44480000,0.48210000,24588369.68000000,1616630399999,12852937.67969500,52223,11802028.49000000,6189021.35174400,0
2021-03-25,0.48160000,0.50250000,0.45800000,0.48360000,14080973.44000000,1616716799999,6786024.44204100,32113,7122596.91000000,3440658.03385200,0
2021-03-26,0.48250000,0.53290000,0.48120000,0.51600000,13213099.46000000,1616803199999,6768599.80380600,27044,6543945.79000000,3351953.49520300,0
2021-03-27,0.51550000,0.54750000,0.49040000,0.52370000,14846339.58000000,1616889599999,7626570.96989400,27875,6985126.48000000,3590987.23967000,0
2021-03-28,0.52390000,0.55710000,0.51070000,0.54090000,18265234.27000000,1616975999999,9700043.66645100,33262,8440993.71000000,4488723.82358300,0
2021-03-29,0.54100000,0.54330000,0.51490000,0.53000000,9544817.24000000,1617062399999,5052238.19933400,19324,4446829.59000000,2354558.51755100,0
2021-03-30,0.53100000,0.54190000,0.51620000,0.52570000,12753962.73000000,1617148799999,6714422.48712200,21609,6507557.13000000,3429945.36002200,0
2021-03-31,0.52570000,0.52640000,0.47000000,0.50070000,13079054.44000000,1617235199999,6568478.24621900,27885,6309913.12000000,3170702.00030600,0
2021-04-01,0.50090000,0.50650000,0.48010000,0.48790000,8023259.10000000,1617321599999,3966433.16190800,17732,3825745.96000000,1892719.08195500,0
2021-04-02,0.48870000,0.52260000,0.48300000,0.49210000,14032970.60000000,1617407999999,7004162.68850500,27339,7382519.27000000,3684406.65462100,0
2021-04-03,0.49350000,0.50750000,0.42270000,0.45330000,16865229.00000000,1617494399999,7996702.46115000,30037,7365681.33000000,3489026.05576000,0
2021-04-04,0.45330000,0.54940000,0.44330000,0.48750000,20397880.61000000,1617580799999,10025681.70520800,43972,9812636.01000000,4833627.10402600,0
2021-04-05,0.48740000,0.49840000,0.45590000,0.46010000,11854446.82000000,1617667199999,5572885.94509600,26181,5171538.06000000,2435393.00534300,0
2021-04-06,0.46010000,0.46830000,0.42280000,0.44660000,14846236.24000000,1617753599999,6626471.84985200,29856,7179864.60000000,3208164.96966600,0
2021-04-07,0.44660000,0.49440000,0.36790000,0.45120000,37834485.77000000,1617839999999,16363367.05580600,74568,19148173.95000000,8273085.29506900,0
2021-04-08,0.45250000,0.53110000,0.43670000,0.48840000,38174527.97000000,1617926399999,18447136.26839200,70580,19294548.49000000,9338197.00428700,0
2021-04-09,0.48970000,0.50760000,0.46910000,0.48230000,15982298.52000000,1618012799999,7737404.71769300,29895,7897391.43000000,3830905.66017700,0
2021-04-10,0.48230000,0.48260000,0.44420000,0.46140000,10044740.96000000,1618099199999,4675421.72255800,19705,4397187.35000000,2051023.45589900,0
2021-04-11,0.46140000,0.48170000,0.43590000,0.46490000,15178499.59000000,1618185599999,7032408.71137000,29092,7297480.72000000,3387205.54811300,0
2021-04-12,0.46480000,0.58990000,0.45620000,0.56780000,43647938.89000000,1618271999999,22202440.84736000,80014,22500811.36000000,11489408.27956700,0
2021-04-13,0.56750000,0.57500000,0.50110000,0.51890000,37606515.81000000,1618358399999,19954910.40987600,67016,17000335.76000000,9041434.73977700,0
2021-04-14,0.51890000,0.52810000,0.47530000,0.50250000,31630788.29000000,1618444799999,15725395.02145800,43967,15557759.36000000,7751200.96446300,0
2021-04-15,0.50300000,0.57630000,0.49600000,0.53390000,42661901.54000000,1618531199999,22994994.97405300,74696,20881270.15000000,11268710.88074900,0
2021-04-16,0.53490000,0.84020000,0.50990000,0.77000000,130070610.98000000,1618617599999,86825341.24702100,250953,63249742.98000000,42294551.71826000,0
2021-04-17,0.77120000,0.79230000,0.59660000,0.61850000,66252549.86000000,1618703999999,43199401.06075200,109706,30431382.24000000,19908277.94774500,0
2021-04-18,0.61950000,0.66410000,0.45200000,0.55100000,52237841.75000000,1618790399999,28562600.81813500,99296,26066558.18000000,14253678.20848200,0
2021-04-19,0.55090000,0.58750000,0.48500000,0.50700000,37209081.81000000,1618876799999,19892076.43248100,64581,17325961.61000000,9256472.83934100,0
2021-04-20,0.50750000,0.53830000,0.45080000,0.51280000,39383596.58000000,1618963199999,19682493.59836500,63497,17653128.35000000,8813096.29187700,0
2021-04-21,0.51270000,0.59170000,0.50280000,0.52160000,57217421.17000000,1619049599999,31334650.36432600,85568,28387800.61000000,15576212.67112700,0
2021-04-22,0.52280000,0.54180000,0.44010000,0.46670000,36622017.78000000,1619135999999,18411231.37003000,54795,15400802.84000000,7775754.99371700,0
2021-04-23,0.46470000,0.47480000,0.32240000,0.43120000,72705665.79000000,1619222399999,28666098.47639600,67693,34960226.85000000,13793406.25555400,0
2021-04-24,0.43160000,0.44030000,0.38460000,0.38880000,36637411.13000000,1619308799999,15046262.89259100,39343,18140394.38000000,7463265.19715800,0
2021-04-25,0.38890000,0.43160000,0.35660000,0.39350000,23655566.77000000,1619395199999,9441848.52591100,29594,11566748.70000000,4618027.90156700,0
2021-04-26,0.39300000,0.47910000,0.38800000,0.45740000,39974538.67000000,1619481599999,17613225.45136100,49662,19649062.77000000,8661038.31637100,0
2021-04-27,0.45650000,0.53850000,0.44490000,0.51800000,45468815.23000000,1619567999999,23006900.34521600,56916,23500664.79000000,11901278.85914500,0
2021-04-28,0.51780000,0.56660000,0.47450000,0.53600000,50427113.10000000,1619654399999,26355369.85579800,70230,24569654.28000000,12860400.29550500,0
2021-04-29,0.53570000,0.61810000,0.51300000,0.56330000,72756669.10000000,1619740799999,41633014.01110100,88869,34625172.90000000,19827918.81441900,0
2021-04-30,0.56340000,0.58000000,0.53890000,0.57100000,28834684.47000000,1619827199999,16102547.80935400,32406,13239973.92000000,7397933.92030900,0
2021-05-01,0.57100000,0.57100000,0.54130000,0.55380000,18128284.91000000,1619913599999,10021184.92120400,21124,8659106.64000000,4786771.48987600,0
2021-05-02,0.55440000,0.55610000,0.50850000,0.53190000,20030354.67000000,1619999999999,10661266.09599800,25557,9006946.31000000,4795949.00276200,0
2021-05-03,0.53250000,0.55040000,0.51960000,0.52450000,20254596.47000000,1620086399999,10884681.53983600,21341,10478473.19000000,5633373.96961500,0
2021-05-04,0.52520000,0.56000000,0.47460000,0.48660000,46226821.48000000,1620172799999,23568771.00233600,71495,21952617.08000000,11220014.84204200,0
2021-05-05,0.48660000,0.52500000,0.48010000,0.51950000,27530676.98000000,1620259199999,14009536.67995800,39840,13358314.94000000,6795269.60101300,0
2021-05-06,0.51980000,0.53500000,0.49200000,0.50470000,33530830.84000000,1620345599999,17204767.62663600,39613,16355264.26000000,8391917.20092100,0
2021-05-07,0.50470000,0.52880000,0.49280000,0.50560000,25603855.02000000,1620431999999,13076426.36343300,35769,12553693.89000000,6415089.46894700,0
2021-05-08,0.50590000,0.51740000,0.49280000,0.49740000,17589331.51000000,1620518399999,8890459.38759800,19061,7922755.58000000,4008709.15309000,0
2021-05-09,0.49770000,0.50000000,0.45600000,0.48550000,17727410.57000000,1620604799999,8515493.47635400,28649,8053432.88000000,3870396.13249900,0
2021-05-10,0.48600000,0.50610000,0.39600000,0.43500000,25418028.26000000,1620691199999,11773518.91613100,39179,11567480.67000000,5372285.61512200,0
2021-05-11,0.43460000,0.46140000,0.42530000,0.45990000,16163933.08000000,1620777599999,7178294.04844300,24859,8097453.39000000,3600864.60507400,0
2021-05-12,0.45900000,0.48250000,0.38470000,0.40030000,26250998.53000000,1620863999999,11604175.31762500,43292,12956065.40000000,5754983.24362000,0
2021-05-13,0.39860000,0.46320000,0.36600000,0.42860000,45548060.52000000,1620950399999,19328110.82561600,67563,21812592.69000000,9278286.25896500,0
2021-05-14,0.42780000,0.44800000,0.41710000,0.43600000,14749987.58000000,1621036799999,6387486.09533600,22036,7303817.91000000,3163166.42640700,0
2021-05-15,0.43600000,0.52470000,0.42410000,0.43390000,74496208.37000000,1621123199999,35612318.61368800,97240,38010994.90000000,18201555.96596000,0
2021-05-16,0.43390000,0.48680000,0.41250000,0.43590000,31669732.94000000,1621209599999,14229848.17833700,48833,14541243.44000000,6541277.58860800,0
2021-05-17,0.43580000,0.43600000,0.37000000,0.40600000,24323129.51000000,1621295999999,9970811.71593300,32861,11724219.95000000,4820875.34977700,0
2021-05-18,0.40690000,0.45500000,0.40030000,0.41860000,28430478.82000000,1621382399999,12054407.83218300,32792,13732833.68000000,5814476.31093600,0
2021-05-19,0.41920000,0.42950000,0.41720000,0.41920000,413033.47000000,1621468799999,174861.46419700,933,216554.12000000,91836.42251600,0
