timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-04-18,0.00282700,0.00282700,0.00178250,0.00181040,1056396.64000000,1524095999999,2100.83556517,44178,486501.32000000,974.89235093,0
2018-04-19,0.00181040,0.00190090,0.00167330,0.00187850,506783.30000000,1524182399999,906.35166991,31700,231260.65000000,414.24027825,0
2018-04-20,0.00187860,0.00189300,0.00169000,0.00169810,209877.75000000,1524268799999,370.50253282,14366,89627.55000000,158.28588061,0
2018-04-21,0.00169810,0.00173030,0.00150000,0.00155020,166777.58000000,1524355199999,268.81531429,9921,68892.96000000,111.16002348,0
2018-04-22,0.00155030,0.00164500,0.00154010,0.00159640,125623.10000000,1524441599999,200.93901436,8351,58005.54000000,93.00709373,0
2018-04-23,0.00159640,0.00169960,0.00159510,0.00162030,123796.90000000,1524527999999,203.79527148,9141,54055.25000000,89.05402061,0
2018-04-24,0.00162020,0.00164490,0.00156000,0.00156270,141855.20000000,1524614399999,225.22855101,8872,57841.17000000,92.01728808,0
2018-04-25,0.00156270,0.00157110,0.00135490,0.00144800,185519.29000000,1524700799999,269.85340796,12894,78814.90000000,114.42853863,0
2018-04-26,0.00144820,0.00168000,0.00140890,0.00148970,264151.35000000,1524787199999,409.31305693,20334,124704.04000000,193.39936136,0
2018-04-27,0.00148970,0.00177900,0.00148600,0.00169000,486331.68000000,1524873599999,808.71194935,33957,230798.49000000,383.59055746,0
2018-04-28,0.00169000,0.00171100,0.00159000,0.00164700,172168.28000000,1524959999999,283.02575031,14010,74856.14000000,123.19726828,0
2018-04-29,0.00164690,0.00170910,0.00159000,0.00165150,149362.76000000,1525046399999,246.30485368,11885,63747.49000000,105.32010419,0
2018-04-30,0.00165700,0.00165700,0.00155000,0.00155910,106084.88000000,1525132799999,170.66378979,6851,44662.58000000,71.87491795,0
2018-05-01,0.00155910,0.00170800,0.00150530,0.00162240,141398.85000000,1525219199999,227.16028114,10721,61608.37000000,99.25940258,0
2018-05-02,0.00162070,0.00163930,0.00159060,0.00162580,69799.74000000,1525305599999,112.81918048,4975,28168.02000000,45.60931838,0
2018-05-03,0.00162670,0.00165700,0.00151130,0.00154000,119932.39000000,1525391999999,191.85526805,7604,49364.99000000,79.03332978,0
2018-05-04,0.00154010,0.00159220,0.00145300,0.00148430,190319.09000000,1525478399999,287.15464749,14260,74924.06000000,113.10041744,0
2018-05-05,0.00148280,0.00169810,0.00137110,0.00162590,236585.91000000,1525564799999,365.09919267,16418,110738.81000000,170.88911063,0
2018-05-06,0.00162590,0.00183980,0.00141340,0.00162830,1043904.49000000,1525651199999,1745.28114092,69223,515985.07000000,865.49498417,0
2018-05-07,0.00162800,0.00169470,0.00151800,0.00156600,337925.61000000,1525737599999,537.99781345,26129,142107.92000000,226.59619315,0
2018-05-08,0.00156600,0.00159610,0.00146900,0.00150070,157389.76000000,1525823999999,240.21121912,8854,62718.69000000,95.91739498,0
2018-05-09,0.00150510,0.00154680,0.00136680,0.00140850,205350.11000000,1525910399999,294.43338511,12097,85795.07000000,122.73375033,0
2018-05-10,0.00141090,0.00142010,0.00135550,0.00138620,87736.66000000,1525996799999,121.82433313,5494,38082.76000000,52.91895962,0
2018-05-11,0.00138730,0.00149500,0.00113030,0.00122220,197401.69000000,1526083199999,257.44067169,12708,92135.44000000,119.68542905,0
2018-05-12,0.00122580,0.00128810,0.00115100,0.00122690,67434.18000000,1526169599999,83.21469673,4464,31485.82000000,38.92688847,0
2018-05-13,0.00122260,0.00136970,0.00121560,0.00133000,84377.66000000,1526255999999,109.51437809,6309,39503.92000000,51.29792234,0
2018-05-14,0.00133000,0.00135160,0.00125000,0.00127380,87263.43000000,1526342399999,112.31796861,6835,40276.01000000,51.87636220,0
2018-05-15,0.00127870,0.00154440,0.00126180,0.00139950,316289.48000000,1526428799999,458.56698138,24081,156325.78000000,227.05152424,0
2018-05-16,0.00139950,0.00165010,0.00130000,0.00157150,543931.31000000,1526515199999,816.72029392,27006,268642.97000000,405.99830852,0
2018-05-17,0.00157150,0.00161160,0.00138360,0.00139660,435580.36000000,1526601599999,651.08830885,34327,208820.82000000,312.61744123,0
2018-05-18,0.00139640,0.00144120,0.00134040,0.00136720,419015.35000000,1526687999999,582.68847879,28575,201459.30000000,280.11172955,0
2018-05-19,0.00136760,0.00137290,0.00132330,0.00134170,309658.64000000,1526774399999,418.35540781,20267,152262.40000000,205.66425559,0
2018-05-20,0.00134090,0.00136000,0.00129080,0.00130530,395272.61000000,1526860799999,522.14094070,31298,194904.04000000,257.38317834,0
2018-05-21,0.00130530,0.00130530,0.00127370,0.00129440,827296.95000000,1526947199999,1067.54336031,41939,419780.72000000,541.53175766,0
2018-05-22,0.00129430,0.00142970,0.00124130,0.00124920,1574458.73000000,1527033599999,2119.11770008,89654,778686.29000000,1048.08257326,0
2018-05-23,0.00124920,0.00125500,0.00114100,0.00118350,156128.29000000,1527119999999,189.09808162,10218,67545.76000000,81.89693627,0
2018-05-24,0.00118540,0.00121910,0.00111700,0.00119150,80510.43000000,1527206399999,94.25026850,5172,34260.17000000,40.18270205,0
2018-05-25,0.00119550,0.00120050,0.00111750,0.00114800,32335.99000000,1527292799999,37.56856079,3799,13333.83000000,15.51228351,0
2018-05-26,0.00114800,0.00115210,0.00110100,0.00112800,43623.61000000,1527379199999,49.05314588,3172,18732.85000000,21.09113866,0
2018-05-27,0.00112800,0.00113210,0.00105200,0.00107660,44575.77000000,1527465599999,48.26262778,3619,19582.02000000,21.24911123,0
2018-05-28,0.00107650,0.00108770,0.00098000,0.00098550,46943.55000000,1527551999999,48.52303147,4390,16675.06000000,17.28498810,0
2018-05-29,0.00099020,0.00107390,0.00096600,0.00105090,33073.11000000,1527638399999,33.88664892,3823,18804.46000000,19.28183095,0
2018-05-30,0.00105090,0.00109900,0.00100530,0.00101650,39519.39000000,1527724799999,41.32419244,3860,17965.27000000,18.78972157,0
2018-05-31,0.00101650,0.00116500,0.00101430,0.00109990,90371.32000000,1527811199999,99.62791517,9847,43610.85000000,48.14021393,0
2018-06-01,0.00109980,0.00117750,0.00108890,0.00112500,65968.86000000,1527897599999,74.92390928,7789,34083.25000000,38.73630814,0
2018-06-02,0.00112060,0.00117840,0.00108540,0.00113090,55262.88000000,1527983999999,61.77092538,7095,29569.84000000,33.11713719,0
2018-06-03,0.00113090,0.00114000,0.00110600,0.00111500,30246.45000000,1528070399999,33.86162786,3376,15591.19000000,17.48796979,0
2018-06-04,0.00111500,0.00113360,0.00102500,0.00103570,41402.24000000,1528156799999,43.75703406,5156,16160.22000000,17.07142062,0
2018-06-05,0.00103590,0.00106020,0.00098000,0.00102200,45064.58000000,1528243199999,45.88300582,4505,21128.05000000,21.52528304,0
2018-06-06,0.00102480,0.00102950,0.00098010,0.00099130,22778.58000000,1528329599999,22.72238032,3696,9649.96000000,9.62956926,0
2018-06-07,0.00099300,0.00101770,0.00096500,0.00097650,17211.71000000,1528415999999,16.96670838,2722,7392.99000000,7.29870185,0
2018-06-08,0.00097410,0.00098930,0.00092540,0.00093660,18715.06000000,1528502399999,17.83553809,2850,7062.71000000,6.74185547,0
2018-06-09,0.00094110,0.00095110,0.00087720,0.00089350,22268.37000000,1528588799999,20.32271980,3025,10183.81000000,9.28471282,0
2018-06-10,0.00089070,0.00092960,0.00081880,0.00083520,42590.10000000,1528675199999,36.63309332,4839,19456.06000000,16.81788458,0
2018-06-11,0.00083930,0.00103070,0.00082650,0.00093800,144784.52000000,1528761599999,134.81922903,13219,71302.98000000,66.69713914,0
2018-06-12,0.00093800,0.00097500,0.00084600,0.00086390,48075.21000000,1528847999999,43.49067766,4444,20974.05000000,19.02829619,0
2018-06-13,0.00085460,0.00086770,0.00078220,0.00080260,25466.58000000,1528934399999,20.80620922,2456,11218.88000000,9.15014756,0
2018-06-14,0.00080160,0.00088350,0.00079610,0.00085610,38055.60000000,1529020799999,32.34148301,4004,19264.75000000,16.40941038,0
2018-06-15,0.00085610,0.00088660,0.00084150,0.00086730,15564.96000000,1529107199999,13.43370599,1324,6568.52000000,5.67977673,0
2018-06-16,0.00086730,0.00098300,0.00085330,0.00091340,59837.64000000,1529193599999,54.86919676,5137,28813.23000000,26.44562370,0
2018-06-17,0.00091320,0.00096990,0.00085410,0.00092450,122146.99000000,1529279999999,112.39061903,7174,50592.56000000,46.75294856,0
2018-06-18,0.00092130,0.00092450,0.00084850,0.00086350,49071.71000000,1529366399999,43.03620314,3540,20024.68000000,17.57283640,0
2018-06-19,0.00085930,0.00086540,0.00080920,0.00081570,31241.41000000,1529452799999,25.90257681,2507,13799.39000000,11.46121810,0
2018-06-20,0.00081690,0.00082080,0.00075040,0.00077240,28455.04000000,1529539199999,22.27089436,2524,9402.79000000,7.36148309,0
2018-06-21,0.00077230,0.00081520,0.00074130,0.00078360,61667.35000000,1529625599999,47.98817915,4396,28836.24000000,22.49022985,0
2018-06-22,0.00077900,0.00083760,0.00073460,0.00075340,65182.27000000,1529711999999,50.56632538,4907,28613.61000000,22.31995397,0
2018-06-23,0.00074950,0.00075600,0.00071530,0.00071550,10163.14000000,1529798399999,7.43281349,849,4312.02000000,3.15784794,0
2018-06-24,0.00072200,0.00074980,0.00066100,0.00068800,33398.68000000,1529884799999,23.49377859,2713,15844.07000000,11.18162402,0
2018-06-25,0.00069020,0.00075500,0.00066590,0.00071930,27434.88000000,1529971199999,19.26191088,2059,12685.10000000,8.95529128,0
2018-06-26,0.00072010,0.00079540,0.00067360,0.00067890,62266.81000000,1530057599999,45.53549237,2869,23784.94000000,17.62038389,0
2018-06-27,0.00068000,0.00068350,0.00059580,0.00064220,113129.93000000,1530143999999,72.74910520,4886,49962.62000000,32.27367062,0
2018-06-28,0.00064460,0.00064470,0.00060000,0.00060060,35920.39000000,1530230399999,22.17861589,1755,13168.10000000,8.16294743,0
2018-06-29,0.00060350,0.00060710,0.00056410,0.00058010,38544.90000000,1530316799999,22.53345995,1676,16105.37000000,9.41856634,0
