timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-07-20,0.02020000,0.02300000,0.01956000,0.02104000,11154802.20000000,1595289599999,236189.10920300,1491,4944003.30000000,104640.41903200,0
2020-07-21,0.02103000,0.02300000,0.02032000,0.02066000,11576620.00000000,1595375999999,241011.21657900,2104,4466747.60000000,93496.38634200,0
2020-07-22,0.02070000,0.02217000,0.02063000,0.02201000,16566125.60000000,1595462399999,353893.21112800,2555,6322827.40000000,135254.52699800,0
2020-07-23,0.02201000,0.02700000,0.02201000,0.02497000,124277833.10000000,1595548799999,3071854.81263000,18331,52317683.60000000,1299371.68109900,0
2020-07-24,0.02497000,0.02650000,0.02360000,0.02422000,63882264.30000000,1595635199999,1603700.76741300,9286,26303687.70000000,663197.99136400,0
2020-07-25,0.02431000,0.02580000,0.02360000,0.02545000,44044047.10000000,1595721599999,1085835.54750000,5497,16168163.80000000,400689.79806500,0
2020-07-26,0.02537000,0.02598000,0.02310000,0.02415000,31546314.40000000,1595807999999,770540.67834500,4483,14554666.40000000,355858.30281000,0
2020-07-27,0.02415000,0.02720000,0.02175000,0.02343000,64416168.90000000,1595894399999,1544122.12475500,11325,25407095.00000000,615210.76241900,0
2020-07-28,0.02343000,0.02419000,0.02245000,0.02382000,23508454.80000000,1595980799999,546465.87439800,4062,9795343.50000000,228689.62190500,0
2020-07-29,0.02382000,0.02497000,0.02307000,0.02331000,27012405.00000000,1596067199999,644728.73217000,4867,12141523.80000000,288812.39963100,0
2020-07-30,0.02340000,0.02554000,0.02320000,0.02530000,32934188.70000000,1596153599999,797006.01851400,5627,13917283.60000000,339229.62842400,0
2020-07-31,0.02521000,0.02599000,0.02407000,0.02440000,19431463.40000000,1596239999999,479107.07305600,3541,7267826.70000000,180349.62663000,0
2020-08-01,0.02440000,0.02863000,0.02400000,0.02726000,40197980.30000000,1596326399999,1032282.07331300,7138,20108150.20000000,521998.55435300,0
2020-08-02,0.02726000,0.02726000,0.02440000,0.02515000,31425086.50000000,1596412799999,800005.18578400,5732,12077875.50000000,306964.52343300,0
2020-08-03,0.02504000,0.02727000,0.02485000,0.02630000,34777754.40000000,1596499199999,916042.77346600,6149,17345787.30000000,456793.22478600,0
2020-08-04,0.02647000,0.02700000,0.02533000,0.02615000,25190715.30000000,1596585599999,658396.43195000,4142,11352988.80000000,296851.43778600,0
2020-08-05,0.02609000,0.02654000,0.02542000,0.02614000,25695627.70000000,1596671999999,669146.07441300,3923,14238527.90000000,371648.16075000,0
2020-08-06,0.02624000,0.02762000,0.02605000,0.02758000,23311506.10000000,1596758399999,631396.53368700,4385,10842536.60000000,294411.06397800,0
2020-08-07,0.02758000,0.02846000,0.02600000,0.02741000,29484051.90000000,1596844799999,805841.76695000,4849,13383247.00000000,366654.59938000,0
2020-08-08,0.02741000,0.02914000,0.02688000,0.02887000,26830305.60000000,1596931199999,748503.89786400,4089,13459311.80000000,374734.90950600,0
2020-08-09,0.02887000,0.03033000,0.02840000,0.02937000,46222731.20000000,1597017599999,1353215.97861100,6158,21944954.50000000,643149.14690100,0
2020-08-10,0.02936000,0.03210000,0.02810000,0.03205000,63959637.00000000,1597103999999,1926958.39147600,10166,34128589.20000000,1035013.13636300,0
2020-08-11,0.03210000,0.03210000,0.02840000,0.03032000,65167173.60000000,1597190399999,1989516.24914700,9576,33908173.70000000,1037500.07943300,0
2020-08-12,0.03049000,0.03213000,0.02910000,0.03199000,47504048.90000000,1597276799999,1476921.30474000,7401,23409905.00000000,729415.19437600,0
2020-08-13,0.03209000,0.03225000,0.02962000,0.03135000,33655577.00000000,1597363199999,1037937.84402900,5433,14095505.30000000,435562.08090900,0
2020-08-14,0.03135000,0.03515000,0.03050000,0.03442000,56029245.60000000,1597449599999,1844191.58172600,9242,31769342.00000000,1049629.42554200,0
2020-08-15,0.03441000,0.03789000,0.03220000,0.03539000,86425986.60000000,1597535999999,3100544.76352100,15607,45747388.40000000,1642332.55202300,0
2020-08-16,0.03539000,0.03700000,0.03280000,0.03687000,45452776.40000000,1597622399999,1572591.69874300,7138,22053285.30000000,764320.79316400,0
2020-08-17,0.03700000,0.03724000,0.03367000,0.03472000,34418528.80000000,1597708799999,1202269.17407900,6948,14942140.10000000,522944.09041500,0
2020-08-18,0.03478000,0.03513000,0.03232000,0.03336000,28180126.20000000,1597795199999,953414.40799900,4912,10567496.70000000,358594.53809200,0
2020-08-19,0.03334000,0.03399000,0.03050000,0.03129000,31591185.40000000,1597881599999,1010034.28370200,4454,13511356.40000000,430186.31798800,0
2020-08-20,0.03131000,0.03332000,0.03097000,0.03212000,21966968.80000000,1597967999999,701895.67060100,4212,11140027.60000000,355813.73221600,0
2020-08-21,0.03206000,0.03263000,0.02902000,0.02965000,28346668.70000000,1598054399999,875082.13859800,5985,13346121.90000000,413504.11115500,0
2020-08-22,0.02968000,0.03048000,0.02850000,0.03011000,19390884.10000000,1598140799999,572783.77687800,3784,8091528.10000000,239265.46889300,0
2020-08-23,0.03025000,0.03041000,0.02802000,0.02863000,16157822.90000000,1598227199999,473074.17913100,2721,6612383.80000000,194064.95662000,0
2020-08-24,0.02863000,0.03150000,0.02803000,0.03077000,33210108.80000000,1598313599999,1007096.24706000,5755,17338689.80000000,527093.92488100,0
2020-08-25,0.03089000,0.03199000,0.02750000,0.02936000,40329108.80000000,1598399999999,1200090.56315700,6872,17326983.10000000,516221.88330100,0
2020-08-26,0.02931000,0.03055000,0.02822000,0.02864000,26262220.30000000,1598486399999,760301.24497000,4651,12348855.00000000,357592.95426600,0
2020-08-27,0.02864000,0.02871000,0.02644000,0.02705000,29893394.50000000,1598572799999,823752.94148300,4576,11991026.20000000,329561.16043300,0
2020-08-28,0.02718000,0.02848000,0.02695000,0.02736000,22048918.40000000,1598659199999,607016.62525600,2946,11867781.00000000,327205.47688400,0
2020-08-29,0.02736000,0.02782000,0.02700000,0.02755000,17166932.40000000,1598745599999,470064.58600800,2995,7689823.60000000,210771.07514700,0
2020-08-30,0.02745000,0.02765000,0.02641000,0.02661000,25522429.00000000,1598831999999,690024.51617500,4213,12150024.00000000,328773.10808200,0
2020-08-31,0.02661000,0.02744000,0.02617000,0.02697000,24847337.10000000,1598918399999,663573.80294700,4782,11596894.30000000,310489.59992900,0
2020-09-01,0.02689000,0.02720000,0.02546000,0.02609000,35617120.40000000,1599004799999,936365.49099200,5947,17502629.60000000,461635.18063600,0
2020-09-02,0.02609000,0.02617000,0.02352000,0.02511000,31169617.60000000,1599091199999,773276.76868300,5567,13950626.10000000,346915.03738900,0
2020-09-03,0.02510000,0.02900000,0.02079000,0.02302000,112669687.60000000,1599177599999,2835237.51449600,16428,53698870.20000000,1358205.87459300,0
2020-09-04,0.02300000,0.02800000,0.02217000,0.02434000,97006007.60000000,1599263999999,2425824.43120300,16531,50022911.70000000,1253977.24899500,0
2020-09-05,0.02430000,0.02446000,0.02055000,0.02140000,26066139.50000000,1599350399999,587663.73392900,4944,11579828.90000000,260756.29682800,0
2020-09-06,0.02127000,0.02299000,0.02079000,0.02225000,18797949.90000000,1599436799999,412215.69040000,3251,10063114.40000000,220354.62050100,0
2020-09-07,0.02224000,0.02247000,0.02020000,0.02160000,28215080.20000000,1599523199999,599555.16775700,3909,14954772.90000000,317039.93746100,0
2020-09-08,0.02162000,0.02320000,0.02063000,0.02166000,15159269.70000000,1599609599999,325291.21731500,2733,8004004.80000000,172395.39843600,0
2020-09-09,0.02161000,0.02228000,0.02091000,0.02163000,14915687.80000000,1599695999999,322496.96455400,2218,8249112.20000000,178905.78176100,0
2020-09-10,0.02163000,0.02341000,0.02163000,0.02271000,21729882.40000000,1599782399999,490506.97672900,3574,10917603.10000000,247032.64709800,0
2020-09-11,0.02271000,0.02282000,0.02166000,0.02264000,12625982.60000000,1599868799999,279695.53247300,2131,6080540.10000000,134825.89182900,0
2020-09-12,0.02263000,0.02310000,0.02200000,0.02271000,18474020.70000000,1599955199999,417102.00252800,2671,8925764.90000000,202401.59879200,0
2020-09-13,0.02271000,0.02292000,0.02099000,0.02129000,18960567.60000000,1600041599999,416092.50996700,2568,9098932.90000000,200039.37136900,0
2020-09-14,0.02123000,0.02270000,0.02115000,0.02169000,16863873.70000000,1600127999999,366359.15914100,2823,8151071.50000000,177136.80946900,0
2020-09-15,0.02178000,0.02234000,0.02077000,0.02083000,14459172.30000000,1600214399999,312950.62844200,2611,5732542.70000000,124129.01375500,0
2020-09-16,0.02085000,0.02625000,0.02065000,0.02625000,104911085.50000000,1600300799999,2549360.06298500,14970,56246969.20000000,1367984.02370200,0
2020-09-17,0.02625000,0.02660000,0.02351000,0.02454000,37825106.60000000,1600387199999,939785.00652200,5397,17802683.70000000,444725.52175100,0
2020-09-18,0.02454000,0.02463000,0.02282000,0.02367000,17035242.00000000,1600473599999,403027.87645400,3198,6808528.60000000,160926.75345500,0
2020-09-19,0.02371000,0.02762000,0.02301000,0.02678000,56600789.40000000,1600559999999,1460622.61067500,10048,28109462.90000000,728860.31301900,0
2020-09-20,0.02682000,0.02976000,0.02551000,0.02961000,78686518.70000000,1600646399999,2159212.79130900,12770,38847747.50000000,1067021.98111500,0
2020-09-21,0.02958000,0.03214000,0.02650000,0.02707000,215558859.90000000,1600732799999,6314692.44615100,31156,105981386.80000000,3114989.72997100,0
2020-09-22,0.02706000,0.02879000,0.02623000,0.02800000,50154689.10000000,1600819199999,1363202.87388900,7812,23064633.20000000,627295.57059800,0
2020-09-23,0.02800000,0.02990000,0.02324000,0.02378000,74221148.40000000,1600905599999,1965341.41690200,11143,34667769.90000000,926697.17624900,0
2020-09-24,0.02383000,0.02549000,0.02298000,0.02500000,77334464.10000000,1600991999999,1870774.15871700,8383,41698629.50000000,1007505.24327000,0
2020-09-25,0.02500000,0.02514000,0.02396000,0.02486000,24937557.90000000,1601078399999,615136.06580200,3867,12828162.70000000,317454.71978800,0
2020-09-26,0.02488000,0.02590000,0.02369000,0.02439000,33150417.20000000,1601164799999,821703.94448000,5289,16180439.30000000,402416.77601400,0
2020-09-27,0.02437000,0.02470000,0.02328000,0.02409000,18707176.70000000,1601251199999,448162.77385300,3068,10177140.80000000,243839.99257300,0
2020-09-28,0.02410000,0.02711000,0.02346000,0.02470000,36418377.20000000,1601337599999,902424.25912900,6441,18122710.60000000,449971.43079200,0
2020-09-29,0.02472000,0.02550000,0.02371000,0.02471000,16514860.50000000,1601423999999,403444.91657200,3662,7555179.00000000,184983.81123900,0
2020-09-30,0.02457000,0.02745000,0.02379000,0.02657000,47280366.30000000,1601510399999,1191269.84226400,8101,21740781.30000000,550175.26467800,0
2020-10-01,0.02657000,0.02996000,0.02399000,0.02660000,77113233.90000000,1601596799999,2114715.59358000,13415,36587975.30000000,1006770.57987800,0
2020-10-02,0.02658000,0.02829000,0.02468000,0.02563000,36450141.80000000,1601683199999,942241.72395500,6407,18175442.30000000,470330.05406400,0
2020-10-03,0.02565000,0.02623000,0.02503000,0.02590000,15903106.60000000,1601769599999,406411.05961200,2767,7245991.60000000,185435.13002800,0
2020-10-04,0.02583000,0.02709000,0.02547000,0.02647000,18224558.80000000,1601855999999,478330.23356700,3748,6953581.50000000,183041.91150700,0
2020-10-05,0.02648000,0.02673000,0.02525000,0.02562000,10919708.00000000,1601942399999,282257.60658300,2266,4381847.30000000,113279.49623700,0
2020-10-06,0.02561000,0.02585000,0.02368000,0.02410000,18263936.70000000,1602028799999,451933.22691200,3725,7424458.20000000,183878.48178200,0
2020-10-07,0.02408000,0.02447000,0.02315000,0.02397000,19756187.40000000,1602115199999,470490.78081900,3437,9791742.30000000,232896.15210000,0
2020-10-08,0.02397000,0.02548000,0.02345000,0.02463000,15336876.60000000,1602201599999,372011.00563800,2927,7374732.80000000,179354.67745300,0
2020-10-09,0.02459000,0.02640000,0.02340000,0.02503000,17614997.20000000,1602287999999,436253.02833600,3903,8892685.40000000,220804.89381600,0
