timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-07-31,457.7,491.92,457.7,488.48,63.52095,1596239999999,30653.4107939,140,24.91499,12033.8172559,0
2020-08-01,487.28,549.63,486.55,547.24,370.01006,1596326399999,189151.2958767,447,165.07603,84009.5296854,0
2020-08-02,547.79,583.93,486.91,521.57,441.11782,1596412799999,234149.7572797,873,179.72457,95921.9772604,0
2020-08-03,519.39,562.37,517.43,546.19,312.11731,1596499199999,171370.6182087,508,270.49958,148561.1932178,0
2020-08-04,546.43,569.46,539.08,546.43,252.30031,1596585599999,139213.737566,400,137.75453,76038.2326178,0
2020-08-05,546.43,569.41,540.49,558.85,235.74906,1596671999999,130127.4597146,392,166.74827,91967.6808855,0
2020-08-06,558.85,558.85,546.0,546.0,236.65376,1596758399999,130932.160711,339,174.12911,96338.1190421,0
2020-08-07,549.91,555.19,514.1,534.0,514.18083,1596844799999,280925.8018271,721,224.588,121752.5245411,0
2020-08-08,532.85,558.62,530.19,558.62,261.43538,1596931199999,142156.8352362,275,208.85767,113692.8952877,0
2020-08-09,558.69,562.31,540.44,545.51,282.17616,1597017599999,156082.4206843,386,206.47223,114378.9620997,0
2020-08-10,549.78,560.5,545.0,556.76,415.52621,1597103999999,229694.6162799,475,184.52002,102511.9063608,0
2020-08-11,557.33,562.85,521.23,536.7,453.49795,1597190399999,249959.0334599,495,271.33435,150374.8117503,0
2020-08-12,537.45,548.9,525.4,546.93,261.90767,1597276799999,140595.6760269,284,172.21009,92493.5733008,0
2020-08-13,547.49,617.45,540.88,605.22,316.3726,1597363199999,180286.7423449,480,130.31591,73501.6895716,0
2020-08-14,606.45,626.67,591.99,616.11,421.84972,1597449599999,254202.6103468,446,201.78867,122502.6813925,0
2020-08-15,618.0,623.18,603.74,607.43,195.93521,1597535999999,120356.4975287,271,87.78306,53924.2361807,0
2020-08-16,607.43,612.09,581.21,608.08,303.50665,1597622399999,181456.3048713,355,202.09478,120724.0381431,0
2020-08-17,605.55,625.73,592.43,602.83,366.89264,1597708799999,221163.6009802,442,296.31951,178671.6180909,0
2020-08-18,603.57,605.9,580.44,588.73,331.99849,1597795199999,198843.2230356,356,196.05253,117544.6014884,0
2020-08-19,586.0,592.03,555.0,572.3,486.8418,1597881599999,281397.2710626,503,198.85098,114601.9431381,0
2020-08-20,575.59,587.96,566.59,585.0,180.28411,1597967999999,104063.3856547,279,90.06324,52092.5405521,0
2020-08-21,581.69,584.25,545.0,547.69,275.62657,1598054399999,156471.3906118,371,172.62621,98185.0704099,0
2020-08-22,547.45,560.02,538.91,560.02,235.40493,1598140799999,129119.2850257,321,144.42959,79288.4562603,0
2020-08-23,559.85,559.94,544.0,553.06,189.30254,1598227199999,104595.6432881,197,80.26443,44335.1197736,0
2020-08-24,550.0,577.66,548.59,575.75,285.33334,1598313599999,161208.3198023,265,196.40072,110874.4416969,0
2020-08-25,576.51,576.51,522.9,540.0,384.43886,1598399999999,211555.8118722,414,223.28064,122800.5809094,0
2020-08-26,535.38,548.38,531.2,540.12,219.8151,1598486399999,118967.361629,278,123.0601,66626.3615337,0
2020-08-27,541.74,550.8,520.0,532.94,138.17973,1598572799999,74132.1504783,216,94.31912,50684.8238008,0
2020-08-28,532.98,547.17,529.94,542.26,172.27985,1598659199999,93065.1915167,199,111.17011,60107.3446921,0
2020-08-29,542.21,555.57,539.55,552.02,153.85007,1598745599999,84370.5199181,188,135.1356,74146.3233494,0
2020-08-30,550.58,590.08,550.58,586.15,322.44764,1598831999999,182876.0346043,324,239.97211,135891.5779517,0
2020-08-31,588.42,601.94,576.04,597.0,217.07696,1598918399999,127829.1054735,341,138.34691,81884.3295062,0
2020-09-01,591.64,669.4,588.73,650.53,647.88641,1599004799999,413811.2867883,597,439.50004,281229.2739514,0
2020-09-02,655.0,661.61,583.03,605.46,739.76384,1599091199999,458511.3656844,1218,425.49009,265299.2519536,0
2020-09-03,604.91,621.36,519.6,534.16,1155.24276,1599177599999,654737.7923467,1493,677.77786,384537.1566983,0
2020-09-04,532.28,559.67,510.0,539.1,789.9421,1599263999999,426613.0323493,1186,408.87234,221282.6302082,0
2020-09-05,541.68,550.0,434.78,467.99,2540.02451,1599350399999,1190230.1246645,1816,1235.04795,576307.6787063,0
2020-09-06,464.01,500.18,442.0,494.5,723.4813,1599436799999,347435.7427388,705,424.47736,204267.0953385,0
2020-09-07,492.25,500.24,452.55,493.84,695.8205,1599523199999,331701.7403387,556,390.61218,186558.0858957,0
2020-09-08,494.88,497.53,460.76,475.69,796.65737,1599609599999,378620.3076525,423,371.07244,176713.013282,0
2020-09-09,475.82,501.61,466.82,491.09,554.5124,1599695999999,266028.7654768,650,362.17709,174075.2578723,0
2020-09-10,492.68,524.14,492.68,514.77,495.80996,1599782399999,255738.7907174,614,310.18639,160063.3737521,0
2020-09-11,514.81,523.1,497.34,521.28,292.00243,1599868799999,148856.2819684,378,149.54394,76405.4462096,0
2020-09-12,521.48,541.64,509.7,540.48,237.76485,1599955199999,123132.0948574,319,61.49514,32134.4273505,0
2020-09-13,540.48,544.11,493.67,510.56,481.59347,1600041599999,247655.725114,527,146.90989,76449.3619552,0
2020-09-14,510.71,533.23,497.63,524.24,293.39006,1600127999999,152047.587891,509,215.407,112185.3096731,0
2020-09-15,525.19,530.21,504.07,504.83,344.31002,1600214399999,177573.304111,573,173.74392,89983.8088955,0
2020-09-16,504.5,513.78,493.65,504.63,286.75298,1600300799999,144039.5177231,523,176.59627,89069.09414,0
2020-09-17,503.63,543.72,503.63,537.39,578.19402,1600387199999,306527.6864418,778,265.90938,140225.6749619,0
2020-09-18,536.73,541.13,518.74,530.1,936.48512,1600473599999,500525.6618681,1440,189.19482,100600.8822704,0
2020-09-19,530.1,536.85,521.0,532.42,202.16984,1600559999999,107034.5518985,274,188.25129,99697.1573709,0
2020-09-20,532.75,532.75,505.64,512.89,261.21879,1600646399999,136231.0656082,315,111.79059,58412.1412,0
2020-09-21,511.74,519.09,464.03,474.03,686.674,1600732799999,334711.6395176,696,233.07931,115492.3518879,0
2020-09-22,473.39,486.81,470.0,481.98,387.34426,1600819199999,185422.4498082,440,227.66019,109525.8864637,0
2020-09-23,481.81,487.53,447.65,455.77,394.6465,1600905599999,186292.3877848,591,211.00076,99817.9685943,0
