timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-07-20,1.248,2.7926,1.0174,1.2586,96013.42,1595289599999,124161.624208,702,25492.92,32296.609218,0
2020-07-21,1.2597,1.2689,1.2573,1.266,157874.86,1595375999999,199373.998308,447,81582.87,103062.116684,0
2020-07-22,1.2663,1.2675,1.2574,1.2646,167032.57,1595462399999,210936.801501,404,56385.5,71261.442797,0
2020-07-23,1.2646,1.2687,1.2573,1.2642,228907.76,1595548799999,289066.673286,478,67928.79,85877.894066,0
2020-07-24,1.2642,1.272,1.261,1.2705,176517.71,1595635199999,223491.201187,434,36637.44,46417.263433,0
2020-07-25,1.2703,1.2718,1.269,1.2711,174813.49,1595721599999,222046.658657,431,57639.55,73228.751273,0
2020-07-26,1.271,1.2734,1.2672,1.2705,364676.81,1595807999999,463270.303846,771,140363.03,178515.774849,0
2020-07-27,1.271,1.2832,1.271,1.2793,457459.24,1595894399999,584373.900967,893,172710.85,220782.708304,0
2020-07-28,1.2802,1.2864,1.2751,1.2837,354565.23,1595980799999,454114.537535,669,132607.23,169927.529039,0
2020-07-29,1.2831,1.2918,1.2615,1.2899,306866.0,1596067199999,395232.3473,656,86586.87,111622.263453,0
2020-07-30,1.289,1.3027,1.2863,1.3027,287894.17,1596153599999,372732.097234,623,89357.87,116012.529941,0
2020-07-31,1.3033,1.3071,1.2973,1.3004,119828.76,1596239999999,156162.458882,545,42900.4,55919.677946,0
2020-08-01,1.2993,1.3023,1.2977,1.301,195719.96,1596326399999,254452.341393,658,98956.64,128670.577376,0
2020-08-02,1.301,1.3073,1.296,1.3045,648362.19,1596412799999,843911.654129,1400,310684.89,404820.068516,0
2020-08-03,1.3036,1.3056,1.2925,1.2998,271548.99,1596499199999,352405.119793,682,106813.91,138506.533916,0
2020-08-04,1.3002,1.3027,1.2909,1.3007,246142.85,1596585599999,319401.34903,705,121699.73,158023.428961,0
