timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-03-05,0.01801,0.0267,0.01801,0.02294,869159039.0,1614988799999,20166363.44962,8727,395243395.0,9162297.22354,0
2021-03-06,0.02306,0.02502,0.02205,0.02265,514900635.0,1615075199999,11952353.54103,5292,237251056.0,5526630.3511,0
2021-03-07,0.02265,0.02435,0.02195,0.02262,722720264.0,1615161599999,16647440.30521,8584,328980790.0,7594024.51717,0
2021-03-08,0.02262,0.024,0.02213,0.02283,797797526.0,1615247999999,18189027.43965,10415,390452653.0,8915478.24145,0
2021-03-09,0.0227,0.02652,0.02241,0.02355,1061192427.0,1615334399999,25080431.71057,14670,525663192.0,12404983.69458,0
2021-03-10,0.02355,0.02565,0.02275,0.02342,831198747.0,1615420799999,20138379.88008,11872,395071309.0,9587386.54088,0
2021-03-11,0.02338,0.02449,0.02252,0.02349,565638066.0,1615507199999,13268015.82145,10410,267127176.0,6274691.01205,0
2021-03-12,0.02349,0.02396,0.0213,0.02244,877638719.0,1615593599999,20253197.13228,15428,383533626.0,8857259.17787,0
2021-03-13,0.02244,0.04388,0.0218,0.03481,5397553607.0,1615679999999,183102677.62876,78613,2723417930.0,91714285.60475,0
2021-03-14,0.03471,0.066,0.03309,0.05528,7724056665.0,1615766399999,368069222.30597,141233,3893448611.0,184998819.31268,0
2021-03-15,0.05536,0.073,0.05183,0.05447,6329991455.0,1615852799999,404497529.43238,151479,3102189538.0,198832834.06266,0
2021-03-16,0.05447,0.06071,0.04266,0.05139,3755546287.0,1615939199999,193404571.00859,75340,1897393983.0,97593884.91313,0
2021-03-17,0.05132,0.065,0.04868,0.05368,3313659711.0,1616025599999,185309267.26001,69221,1668508145.0,93488458.17618,0
2021-03-18,0.05368,0.0574,0.05139,0.05291,1665213427.0,1616111999999,89355784.36563,36837,787400447.0,42294419.1582,0
2021-03-19,0.053,0.06498,0.0522,0.0599,3191378571.0,1616198399999,187157523.39708,67725,1624398565.0,95271465.56064,0
2021-03-20,0.05989,0.06588,0.05705,0.05724,2353471781.0,1616284799999,145103584.00465,55933,1169688026.0,72303433.12704,0
2021-03-21,0.05735,0.0659,0.05547,0.06191,1970175890.0,1616371199999,120107269.93927,46135,954810394.0,58436203.6333,0
2021-03-22,0.0619,0.0637,0.05546,0.05903,1351177386.0,1616457599999,82067533.795,36898,588936391.0,35849664.36355,0
