timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-10-23,0.00018,0.0002205,0.00018,0.00018238,7040.0,1508803199999,1.41509977,46,3065.0,0.62007398,584560.8496582
2017-10-24,0.00018238,0.00028993,0.00018238,0.0002295,13999.0,1508889599999,3.16381532,110,6655.0,1.52386067,592059.86194405
2017-10-25,0.0002341,0.000237,0.00020339,0.00022017,18818.0,1508975999999,4.17720835,104,8728.0,1.95803337,611402.4932504
2017-10-26,0.000227,0.00022718,0.00019,0.00019,6839.0,1509062399999,1.4286332,57,1423.0,0.29198323,609565.03548801
2017-10-27,0.00019,0.000219,0.00019,0.00020495,27091.0,1509148799999,5.72737344,61,14261.0,3.05140762,611418.74237801
2017-10-28,0.000205,0.00021999,0.00018975,0.00018975,73981.0,1509235199999,14.94409008,233,33859.0,6.99662435,622015.58953801
2017-10-29,0.00018975,0.00020099,0.00018046,0.00018996,12031.0,1509321599999,2.30670566,44,8385.0,1.62113847,597688.11718115
2017-10-30,0.00018996,0.00019189,0.00017,0.00017,14014.0,1509407999999,2.57838454,93,3209.0,0.60142498,601717.46588368
2017-10-31,0.00017,0.0001897,0.000156,0.00015905,42285.0,1509494399999,7.21301989,213,8024.0,1.4207729,654711.71307207
2017-11-01,0.00015905,0.0001851,0.000137,0.00014329,46990.0,1509580799999,6.96587944,150,22078.0,3.35020145,687398.59827669
2017-11-02,0.00014329,0.00014329,0.00011741,0.00013958,36084.0,1509667199999,4.62081454,100,16775.0,2.20702479,659823.69781722
2017-11-03,0.0001377,0.00016,0.00011123,0.00016,11021.0,1509753599999,1.51443066,92,4859.0,0.69119314,642136.49036874
2017-11-04,0.0001685,0.0001697,0.00014922,0.00014922,5274.0,1509839999999,0.8394377,60,1088.0,0.16856371,644512.07342926
2017-11-05,0.00015222,0.00015842,0.00012083,0.00014918,20805.0,1509926399999,2.77064128,56,8391.0,1.19359159,639387.73602601
2017-11-06,0.00014918,0.00015128,0.00013512,0.00014199,11272.0,1510012799999,1.62218166,70,4489.0,0.6399411,644791.0703494
2017-11-07,0.00014199,0.00018002,0.00011305,0.000133,51791.0,1510099199999,6.66224567,160,15217.0,1.93912453,662250.66014269
2017-11-08,0.000133,0.000136,0.00012142,0.0001265,42365.0,1510185599999,5.43719303,178,17514.0,2.26301261,689788.46243387
2017-11-09,0.000125,0.00016444,0.00012138,0.000155,59066.0,1510271999999,7.89647015,294,35071.0,4.74822509,741783.35157212
2017-11-10,0.00015146,0.00016442,0.00013349,0.00014427,54828.0,1510358399999,8.22995604,202,24130.0,3.61511629,737309.15845804
2017-11-11,0.00014427,0.000173,0.00013861,0.000173,22586.0,1510444799999,3.57437942,138,18284.0,2.9022275,733195.87043754
2017-11-12,0.00016996,0.00017443,0.00016001,0.00016651,15600.0,1510531199999,2.58439035,118,4601.0,0.76642786,753753.86095177
2017-11-13,0.00017428,0.000175,0.0001408,0.00015301,17453.0,1510617599999,2.82016659,99,2302.0,0.39200351,772082.40377584
2017-11-14,0.00014801,0.00015706,0.00014709,0.00015274,7453.0,1510703999999,1.11579147,52,3203.0,0.48432515,775537.67264483
2017-11-15,0.000154,0.00015698,0.00014822,0.00015497,21226.0,1510790399999,3.26909994,100,8078.0,1.25108388,785081.1498292
2017-11-16,0.00015158,0.00015435,0.00012523,0.00012538,25019.0,1510876799999,3.40299391,119,4606.0,0.65881376,810641.92813016
2017-11-17,0.0001254,0.00014955,0.00011417,0.000129,19538.0,1510963199999,2.3771595,96,4250.0,0.5188759,826989.52609971
2017-11-18,0.000129,0.00014563,0.00012289,0.00013541,41440.0,1511049599999,5.42025167,231,24449.0,3.22582643,825480.66986887
2017-11-19,0.00013571,0.00014562,0.00012563,0.00013286,21837.0,1511135999999,2.95182691,231,9278.0,1.27332699,825858.15595397
2017-11-20,0.00013286,0.00014641,0.0001266,0.00014568,49490.0,1511222399999,6.71640747,421,32989.0,4.55530193,816012.81405661
2017-11-21,0.00014496,0.00015988,0.0001368,0.00015053,42280.0,1511308799999,6.33633226,459,13765.0,2.06570545,765965.25152512
2017-11-22,0.00015053,0.00018441,0.00014339,0.0001812,41161.0,1511395199999,6.47038794,520,26989.0,4.27361927,759108.40512844
2017-11-23,0.00018083,0.0001872,0.00016018,0.00017601,31410.0,1511481599999,5.4127428,582,14776.0,2.55499549,758999.32437544
2017-11-24,0.00017601,0.00022178,0.00017601,0.00020225,52341.0,1511567999999,10.52387623,869,21150.0,4.26938088,776009.35300597
2017-11-25,0.00020225,0.00021884,0.00019501,0.00020293,47309.0,1511654399999,9.84454451,687,23224.0,4.88984045,792716.76808839
2017-11-26,0.00020359,0.00020455,0.00016046,0.000172,61230.0,1511740799999,10.97799341,732,20190.0,3.64015954,796067.87181646
2017-11-27,0.00017127,0.00017638,0.00014753,0.00015478,42404.0,1511827199999,7.01146509,678,20923.0,3.53338364,804669.0614234
2017-11-28,0.00015635,0.00017377,0.0001454,0.00015415,40385.0,1511913599999,6.39730158,359,21340.0,3.46200076,812991.55372744
2017-11-29,0.000155,0.00016031,0.00011412,0.00013491,54897.0,1511999999999,7.57872063,452,20456.0,2.81247274,825008.074183
2017-11-30,0.00013335,0.0001409,0.00012001,0.00013572,44191.0,1512086399999,5.77176665,349,16720.0,2.23479247,860678.51844741
2017-12-01,0.00013642,0.00015282,0.00013642,0.00014287,29960.0,1512172799999,4.26849731,265,15174.0,2.1883505,864063.07482969
2017-12-02,0.0001424,0.00014828,0.00013116,0.00013247,17879.0,1512259199999,2.48271244,243,4741.0,0.67794572,876285.01695522
2017-12-03,0.00013397,0.0001387,0.00012501,0.00013462,26404.0,1512345599999,3.49345608,225,8191.0,1.10227625,895152.8641292
2017-12-04,0.00013329,0.00014333,0.00012088,0.00013467,55732.0,1512431999999,7.38741568,358,18002.0,2.40333159,949251.44469165
2017-12-05,0.00013467,0.00015099,0.00013467,0.00014,76278.0,1512518399999,11.03063695,480,24192.0,3.50140115,988022.18253802
2017-12-06,0.00014165,0.00014165,0.000112,0.00011924,83410.0,1512604799999,10.13345298,508,34277.0,4.17150179,987774.98433937
2017-12-07,0.00011925,0.00012038,8.337e-05,8.337e-05,115334.0,1512691199999,11.51377005,620,40034.0,4.09893838,1009051.34681161
2017-12-08,8.44e-05,0.00010404,6.972e-05,8.953e-05,132074.0,1512777599999,11.20446784,784,50018.0,4.17278818,1085592.87014627
2017-12-09,8.953e-05,0.00011,8.862e-05,9.78e-05,73164.0,1512863999999,7.21767758,636,37993.0,3.79384785,1151134.92660115
2017-12-10,9.777e-05,0.00010003,8.513e-05,8.52e-05,36087.0,1512950399999,3.40071996,410,15748.0,1.51276045,1162978.54006554
2017-12-11,8.845e-05,9.256e-05,3.03e-05,8.682e-05,143220.0,1513036799999,11.11139714,495,58060.0,4.72960477,1139528.35561096
2017-12-12,8.682e-05,9.252e-05,7.731e-05,8.405e-05,98354.0,1513123199999,8.5431555,685,59297.0,5.18808938,1189359.44196537
