timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-11-06,51.6,53.5,11.2,53.258,965.817,1604707199999,50317.781039,272,609.789,31833.622331,0
2020-11-07,53.291,54.24,47.922,49.378,2705.269,1604793599999,137898.569685,704,1440.873,73641.606961,0
2020-11-08,49.301,52.251,49.264,51.203,917.564,1604879999999,46725.964422,257,515.222,26296.521406,0
2020-11-09,51.353,51.983,48.882,49.961,1352.659,1604966399999,67793.007119,409,526.987,26523.994525,0
2020-11-10,49.736,50.332,48.5,49.069,664.822,1605052799999,32848.42319,284,280.012,13842.226802,0
2020-11-11,49.289,51.613,49.289,50.601,2836.567,1605139199999,144149.232696,464,1303.114,66375.300029,0
2020-11-12,50.387,51.653,49.192,51.653,3491.692,1605225599999,176155.266382,716,2310.051,116997.483916,0
2020-11-13,51.666,56.499,51.238,55.508,3153.786,1605311999999,171482.829496,822,1776.48,96699.605998,0
2020-11-14,55.276,55.311,52.367,54.212,1293.894,1605398399999,69302.105115,358,466.623,24939.756877,0
2020-11-15,54.375,54.61,52.0,52.861,648.947,1605484799999,34413.932155,244,240.379,12711.08636,0
2020-11-16,53.006,63.0,53.006,62.54,7125.913,1605571199999,426478.332879,1435,3902.83,233833.391011,0
2020-11-17,62.432,65.083,60.473,64.527,9295.57,1605657599999,581635.507368,2499,4606.09,289123.501176,0
2020-11-18,64.563,65.005,57.403,62.343,8797.62,1605743999999,541954.108706,2200,3627.34,223694.980154,0
2020-11-19,62.265,70.499,60.648,68.941,10014.949,1605830399999,666714.624936,2326,5130.015,340481.162745,0
2020-11-20,68.941,72.287,67.595,69.653,10861.958,1605916799999,756015.497829,2213,5188.968,361702.903068,0
2020-11-21,69.827,74.603,67.845,73.441,11779.214,1606003199999,841195.852925,2836,5746.881,410802.970003,0
2020-11-22,73.636,74.02,65.624,69.891,7618.474,1606089599999,537636.458193,2144,3532.183,249617.838414,0
2020-11-23,70.392,76.659,68.266,75.718,11716.762,1606175999999,862091.452058,2708,5644.797,417242.336701,0
2020-11-24,75.638,79.5,72.471,75.35,12946.253,1606262399999,982714.520505,3500,6349.744,483113.240858,0
2020-11-25,75.35,76.444,65.5,68.974,6661.909,1606348799999,483954.969931,2136,3510.495,256378.516618,0
2020-11-26,68.828,70.08,54.433,59.7,17270.021,1606435199999,1061161.005387,5238,8243.675,507766.157777,0
2020-11-27,59.9,62.0,55.0,58.056,10035.278,1606521599999,584408.35816,2601,4995.5,291031.604891,0
2020-11-28,58.262,62.969,57.376,61.098,7590.057,1606607999999,459889.315281,1465,3706.944,224916.024619,0
2020-11-29,61.081,68.077,60.179,66.485,10362.714,1606694399999,668342.98961,1914,5987.651,386939.8405,0
2020-11-30,66.58,74.002,64.373,73.338,11886.713,1606780799999,835188.698202,2841,5075.165,357395.867499,0
2020-12-01,73.193,77.767,65.676,70.778,22546.057,1606867199999,1653757.23127,5906,11576.528,850772.008549,0
2020-12-02,70.684,75.334,69.0,73.6,8268.814,1606953599999,598636.418238,2716,4051.213,293751.274198,0
2020-12-03,73.614,75.348,70.829,73.452,5037.058,1607039999999,368604.871192,1687,2139.754,156659.584764,0
2020-12-04,73.405,74.024,64.5,66.026,9253.1,1607126399999,649060.050442,2772,4306.514,301554.352495,0
2020-12-05,65.795,69.834,65.226,68.798,3194.979,1607212799999,217825.715869,1278,1591.645,108488.388066,0
2020-12-06,68.995,70.426,66.579,69.118,2474.418,1607299199999,169362.714536,1144,1050.033,71865.539443,0
2020-12-07,69.118,71.923,67.788,69.153,4843.101,1607385599999,336094.314647,1405,2308.865,160195.28326,0
2020-12-08,69.005,70.206,62.603,63.719,9643.039,1607471999999,638392.451079,5244,4319.091,285688.726504,0
2020-12-09,63.593,64.863,59.681,64.302,11102.475,1607558399999,700201.678596,4977,4333.623,273492.456632,0
2020-12-10,64.313,64.495,60.458,61.692,4922.584,1607644799999,305586.158693,4193,1976.144,122882.539499,0
2020-12-11,61.803,61.935,57.89,59.761,12541.692,1607731199999,745087.65527,9998,5434.491,323036.552203,0
2020-12-12,59.821,64.25,59.56,63.466,9374.879,1607817599999,585899.250744,7005,4275.821,266929.215018,0
2020-12-13,63.46,69.522,62.565,67.839,13634.301,1607903999999,905017.109749,10066,6722.686,447120.876113,0
2020-12-14,67.796,68.398,65.152,67.908,13072.817,1607990399999,875416.461409,10486,6328.137,424448.379407,0
2020-12-15,67.969,69.805,66.204,67.114,15204.613,1608076799999,1028857.543029,11343,7174.042,485379.075871,0
2020-12-16,67.108,76.706,64.655,76.478,27090.952,1608163199999,1921859.164017,14446,13776.55,979424.679348,0
2020-12-17,76.417,89.623,73.936,82.533,44638.12,1608249599999,3643464.558708,15326,22467.978,1841270.438594,0
2020-12-18,82.578,92.0,81.0,89.423,22209.716,1608335999999,1949764.042091,8600,10885.157,955708.807883,0
2020-12-19,89.548,101.587,86.2,98.021,26431.163,1608422399999,2522104.023739,10924,12293.474,1172834.033366,0
2020-12-20,98.02,100.817,90.001,94.098,38750.062,1608508799999,3708860.184982,29218,17848.059,1710582.475019,0
2020-12-21,94.078,97.27,82.434,85.596,35312.249,1608595199999,3152098.988723,26463,16239.314,1452168.426184,0
2020-12-22,85.632,94.123,80.856,94.014,43054.218,1608681599999,3776189.555252,28798,21561.037,1896247.091431,0
2020-12-23,93.924,96.25,78.0,84.233,56380.945,1608767999999,4980090.69047,38121,26155.977,2320718.201584,0
2020-12-24,84.186,92.432,81.123,91.511,46194.894,1608854399999,4003695.850321,29551,22678.819,1967753.498013,0
2020-12-25,91.481,105.49,88.978,104.8,49753.114,1608940799999,4852359.887849,25328,24217.8,2364123.513537,0
2020-12-26,104.856,110.78,102.543,106.005,35118.228,1609027199999,3738851.114496,18772,16741.345,1784462.690198,0
2020-12-27,106.013,113.75,99.421,103.998,30599.307,1609113599999,3287562.547851,13532,14887.476,1603721.1434,0
2020-12-28,103.926,112.464,102.812,106.3,20885.899,1609199999999,2252970.524423,7513,10588.42,1143444.154129,0
2020-12-29,106.26,106.996,98.3,104.967,23483.699,1609286399999,2424973.259739,6834,10263.616,1061689.818118,0
2020-12-30,104.966,108.229,100.308,105.704,22170.293,1609372799999,2305423.256047,6560,10175.121,1057325.601325,0
2020-12-31,105.717,105.826,99.771,102.159,13510.915,1609459199999,1383145.79472,3899,6365.482,653060.702673,0
2021-01-01,102.334,109.23,100.962,103.692,12893.874,1609545599999,1346505.394946,5153,6443.907,674730.81013,0
2021-01-02,103.467,115.405,100.06,110.327,28712.809,1609631999999,3093310.376389,10457,13894.56,1503263.219909,0
