timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-04-26,0.00000049,0.00000199,0.00000049,0.00000103,4190771500.00000000,1556323199999,4562.50395151,42731,1935944759.00000000,2115.27952504,0
2019-04-27,0.00000103,0.00000111,0.00000097,0.00000099,1152744004.00000000,1556409599999,1189.76564121,20879,518951788.00000000,539.35039806,0
2019-04-28,0.00000099,0.00000099,0.00000082,0.00000084,1072835379.00000000,1556495999999,982.26219720,15495,452741771.00000000,417.57959222,0
2019-04-29,0.00000083,0.00000085,0.00000065,0.00000066,1387656070.00000000,1556582399999,1057.10992255,11153,589920048.00000000,452.12972828,0
2019-04-30,0.00000066,0.00000096,0.00000065,0.00000084,3851019945.00000000,1556668799999,3274.39148936,29490,2008586107.00000000,1707.71135654,0
2019-05-01,0.00000083,0.00000087,0.00000075,0.00000081,1476259823.00000000,1556755199999,1170.57334561,15452,889927101.00000000,706.76284940,0
2019-05-02,0.00000081,0.00000088,0.00000074,0.00000076,941946868.00000000,1556841599999,750.53298981,9012,436469138.00000000,349.85215948,0
2019-05-03,0.00000076,0.00000077,0.00000068,0.00000074,837845733.00000000,1556927999999,604.56996825,8802,344264728.00000000,249.70258111,0
2019-05-04,0.00000074,0.00000074,0.00000066,0.00000068,396459923.00000000,1557014399999,276.85246387,5100,170875146.00000000,120.01315022,0
2019-05-05,0.00000068,0.00000071,0.00000062,0.00000064,510549197.00000000,1557100799999,335.38681894,4319,203439602.00000000,134.35288818,0
2019-05-06,0.00000065,0.00000069,0.00000062,0.00000066,766203218.00000000,1557187199999,498.43310158,7801,351912417.00000000,230.22803110,0
2019-05-07,0.00000066,0.00000066,0.00000057,0.00000058,650215137.00000000,1557273599999,401.97757553,5229,249983793.00000000,156.49863190,0
2019-05-08,0.00000058,0.00000059,0.00000055,0.00000056,397122183.00000000,1557359999999,226.11632169,3628,171939343.00000000,98.49717846,0
2019-05-09,0.00000056,0.00000057,0.00000049,0.00000051,901572470.00000000,1557446399999,468.23162935,5826,387093542.00000000,202.52407084,0
2019-05-10,0.00000051,0.00000061,0.00000049,0.00000059,1662248778.00000000,1557532799999,929.79207459,10770,826920399.00000000,465.11003447,0
2019-05-11,0.00000060,0.00000073,0.00000056,0.00000065,1915093175.00000000,1557619199999,1226.97066253,17319,998884282.00000000,642.94827753,0
2019-05-12,0.00000065,0.00000080,0.00000063,0.00000076,1976622931.00000000,1557705599999,1447.38290600,19451,1025600244.00000000,753.86840604,0
2019-05-13,0.00000077,0.00000119,0.00000074,0.00000111,6255185998.00000000,1557791999999,6186.65655827,63891,3282799106.00000000,3245.27431382,0
2019-05-14,0.00000110,0.00000137,0.00000091,0.00000097,6005272188.00000000,1557878399999,7168.49526852,83696,2910692321.00000000,3499.17985885,0
