timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-11-20,24.00000000,100.00000000,22.00000000,22.00000000,4336.57600000,1511222399999,105887.97480800,422,1200.44600000,30632.58285000,3037624.46000000
2017-11-21,22.49900000,23.89900000,21.28000000,21.50000000,2555.32700000,1511308799999,56920.77121300,250,822.31600000,18440.08125100,2998895.43756000
2017-11-22,21.50100000,24.00000000,21.50100000,22.19100000,1106.69000000,1511395199999,25143.36322800,217,339.99000000,7828.86333200,2967122.46000000
2017-11-23,22.19200000,23.00000000,21.50100000,22.25000000,987.15400000,1511481599999,22009.51068100,154,407.53700000,9140.64075200,2901920.46000000
2017-11-24,22.00200000,23.00000000,19.10000000,20.00000000,2413.98300000,1511567999999,49709.19350100,529,1325.74500000,27089.30818700,2904812.46000000
2017-11-25,20.14000000,22.03900000,19.08800000,20.32900000,2893.57000000,1511654399999,58752.56719600,700,577.50900000,12076.53887500,2939916.46000000
2017-11-26,20.32900000,21.03200000,19.58000000,20.70800000,718.71200000,1511740799999,14474.11063500,263,256.19200000,5199.53411500,2870842.46000000
2017-11-27,20.74700000,23.26800000,19.80100000,20.50100000,1454.08100000,1511827199999,31645.11699600,528,896.41800000,19421.08872300,2941180.46000000
2017-11-28,21.08100000,21.30000000,19.51800000,19.76600000,2682.27900000,1511913599999,53633.74683200,436,1358.61700000,27267.39746800,2995848.46000000
2017-11-29,19.68900000,21.39700000,17.60000000,18.52000000,9519.16400000,1511999999999,178993.16238100,1516,4307.97600000,80191.20936900,3015225.46000000
2017-11-30,18.52100000,18.67900000,16.33700000,16.62700000,22134.70800000,1512086399999,376655.75459400,2045,11328.80100000,192738.94027600,3016161.46000000
2017-12-01,16.62800000,18.35500000,16.00000000,17.26400000,52995.31500000,1512172799999,908230.33760800,3499,34636.45100000,594605.42136000,3096756.46000000
2017-12-02,17.35200000,17.68300000,16.84200000,16.90200000,59506.35500000,1512259199999,1026794.24329600,3655,37808.79900000,653813.73999600,3094516.46000000
2017-12-03,16.96400000,17.59200000,15.50200000,15.92600000,54944.87000000,1512345599999,931294.19522400,3804,46178.94800000,784976.46562600,3110653.46000000
2017-12-04,16.07000000,17.91000000,14.68200000,16.56600000,49055.63600000,1512431999999,799209.33522300,3611,31335.32400000,513353.52068800,3155749.46000000
2017-12-05,16.44800000,16.66200000,14.50200000,14.90000000,52760.30000000,1512518399999,815890.28407600,4154,31304.86600000,484998.04084600,3127008.46000000
2017-12-06,14.74500000,16.38500000,13.45000000,13.86300000,56675.54700000,1512604799999,822185.69761800,4769,35354.32200000,513022.15222500,3137065.46000000
2017-12-07,13.67500000,14.74300000,9.22800000,12.36900000,65368.23700000,1512691199999,858546.10251200,5666,30140.93000000,396972.25306900,3209800.46000000
2017-12-08,12.42700000,15.80800000,12.08000000,12.80500000,66484.55500000,1512777599999,892961.39885300,7565,27692.77200000,372309.70111000,3257996.05924700
2017-12-09,12.95300000,15.46900000,12.53200000,13.54100000,50364.62900000,1512863999999,694770.69216400,6575,19575.67000000,268824.45308300,3204212.46000000
2017-12-10,13.44200000,14.73100000,12.80100000,13.43200000,37562.16200000,1512950399999,517947.79907900,4423,14129.54900000,194840.34524300,3264237.46000000
2017-12-11,13.22700000,13.72700000,12.32000000,13.34300000,30550.30900000,1513036799999,399760.40271400,3617,10526.88200000,138077.11817900,3226805.46000000
2017-12-12,13.26200000,15.60000000,12.86700000,15.11200000,34333.64200000,1513123199999,484873.88803900,3858,12796.35600000,181086.20942800,3309517.46000000
2017-12-13,15.16200000,18.19400000,13.80100000,16.20100000,57965.75200000,1513209599999,925268.88948600,6277,22497.88200000,361327.32899400,3468369.46000000
2017-12-14,16.14900000,17.92500000,14.73300000,15.87400000,57105.81200000,1513295999999,936159.89436500,6261,23843.20100000,391896.94530100,3538461.45866000
2017-12-15,15.91300000,16.07900000,10.33900000,11.54200000,75268.52100000,1513382399999,981478.01962800,6795,31559.72500000,412408.17457500,3541843.46000000
2017-12-16,11.49400000,13.27300000,10.16400000,10.61700000,55541.04400000,1513468799999,631603.01420400,5529,22826.31300000,259499.34987400,3565276.46000000
2017-12-17,10.71000000,13.08700000,8.26000000,11.25700000,88867.39800000,1513555199999,938849.83887500,10666,39457.70200000,415826.23648800,3938166.46000000
2017-12-18,11.26300000,15.00000000,10.03000000,12.89900000,10681.84300000,1513641599999,139528.26956100,3694,4591.77600000,60132.63702700,0
2017-12-19,13.12500000,13.79400000,5.10100000,12.22000000,11507.81800000,1513727999999,143728.92429900,3506,5194.66600000,64691.31019700,0
