timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-08-13,0.0005,0.0005,0.0002,0.0004822,280312740.0,1565740799999,136110.7260502,591,75655708.0,37048.1091139,0
2019-08-14,0.0004821,0.0004921,0.0004288,0.0004367,245400173.0,1565827199999,114529.1074739,920,117809692.0,55360.9761712,0
2019-08-15,0.0004389,0.0004446,0.0004,0.0004229,208961898.0,1565913599999,87451.2704993,683,97562594.0,41048.7447795,0
2019-08-16,0.0004184,0.0004276,0.0004,0.0004198,354472954.0,1565999999999,147336.8518639,856,138442998.0,57739.9643838,0
2019-08-17,0.0004145,0.00042,0.0004086,0.0004151,143659141.0,1566086399999,59592.3805497,305,80507730.0,33502.1565324,0
2019-08-18,0.0004168,0.0004291,0.0004086,0.000417,313740465.0,1566172799999,131811.3334907,646,146328573.0,61543.7428968,0
2019-08-19,0.000417,0.0004373,0.000417,0.0004371,380565766.0,1566259199999,162475.4582878,983,210705310.0,90143.4531848,0
2019-08-20,0.0004372,0.0004392,0.00042,0.0004283,304002211.0,1566345599999,130575.4397833,1035,158364862.0,68212.9755709,0
2019-08-21,0.0004315,0.0004315,0.0004007,0.000415,267182421.0,1566431999999,110204.4568519,787,143345877.0,58921.3410824,0
2019-08-22,0.0004153,0.0004387,0.0004051,0.0004338,412625814.0,1566518399999,176159.782135,1325,240769128.0,102919.5880301,0
2019-08-23,0.0004337,0.0004488,0.0004271,0.0004404,208488929.0,1566604799999,91128.9384416,771,125954675.0,55217.9035071,0
2019-08-24,0.0004399,0.0004399,0.00042,0.0004383,162038910.0,1566691199999,69518.9093354,549,73352521.0,31564.5206,0
2019-08-25,0.0004382,0.0004399,0.0004215,0.000431,110511419.0,1566777599999,47760.9956277,537,48787497.0,21262.3863283,0
2019-08-26,0.0004313,0.0004379,0.0004189,0.0004314,174294974.0,1566863999999,74167.8564094,630,71972500.0,30776.4925252,0
2019-08-27,0.0004313,0.0004315,0.0004142,0.0004175,213708256.0,1566950399999,90263.347349,748,72247890.0,30655.1493899,0
2019-08-28,0.0004199,0.0004214,0.0003844,0.000394,513461441.0,1567036799999,207393.4708214,1332,170968725.0,68525.3752722,0
2019-08-29,0.0003911,0.0003924,0.0003716,0.0003832,186102927.0,1567123199999,70810.6419826,624,121277303.0,46209.553687,0
2019-08-30,0.0003835,0.000394,0.0003751,0.0003933,189407536.0,1567209599999,72535.1723835,758,111697274.0,42936.4793185,0
2019-08-31,0.0003928,0.0003973,0.0003844,0.0003898,217572637.0,1567295999999,84562.332316,486,185212243.0,71982.9630355,0
2019-09-01,0.0003898,0.000399,0.0003808,0.0003893,212253012.0,1567382399999,82582.5128354,535,166275869.0,64783.5165406,0
2019-09-02,0.0003897,0.0003975,0.0003797,0.0003934,308051953.0,1567468799999,119345.5610326,1230,96770054.0,37542.3620337,0
2019-09-03,0.0003913,0.0003934,0.0003791,0.000384,313797423.0,1567555199999,121146.5345451,1052,169712211.0,65751.0271564,0
2019-09-04,0.0003833,0.0003853,0.0003663,0.0003771,229574109.0,1567641599999,86132.9926276,770,103848994.0,38946.5721919,0
2019-09-05,0.0003736,0.000398,0.0003608,0.000364,490034955.0,1567727999999,180841.6118918,925,251791307.0,93066.4371628,0
2019-09-06,0.0003607,0.0003685,0.0003454,0.0003506,209405417.0,1567814399999,75586.5283237,727,69991533.0,25354.4116208,0
2019-09-07,0.0003503,0.000375,0.0003494,0.0003602,320070087.0,1567900799999,115162.6884434,624,250420343.0,90223.9551502,0
2019-09-08,0.0003632,0.0003766,0.0003561,0.00037,370815883.0,1567987199999,136013.0400745,1059,225092040.0,82825.0771729,0
2019-09-09,0.00037,0.000385,0.0003597,0.000371,229958419.0,1568073599999,85215.2106271,811,144658885.0,53888.2555562,0
2019-09-10,0.000373,0.0003777,0.0003578,0.0003602,163317020.0,1568159999999,60081.1668741,581,67289768.0,24845.8945779,0
2019-09-11,0.0003603,0.0003647,0.0003451,0.0003501,214734578.0,1568246399999,75633.7475155,516,74704432.0,26361.192399,0
2019-09-12,0.00035,0.0003547,0.000345,0.0003509,191186444.0,1568332799999,67071.1899616,518,86471757.0,30397.6736436,0
2019-09-13,0.0003509,0.000354,0.0003482,0.0003517,114893420.0,1568419199999,40353.3708695,365,69113327.0,24298.4040745,0
