timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-12-19,0.08000000,0.19500000,0.04000000,0.06972000,1075528.14000000,1513727999999,73210.95218160,1254,493925.42000000,34949.57815300,0
2017-12-20,0.06972000,0.07500000,0.05412000,0.06025000,323584.38000000,1513814399999,20414.43555920,808,71648.91000000,4642.17250980,0
2017-12-21,0.06030000,0.06999000,0.04755000,0.05810000,261186.70000000,1513900799999,16019.16420670,735,103218.37000000,6466.84703230,0
2017-12-22,0.06081000,0.06316000,0.04500000,0.05397000,149145.80000000,1513987199999,8011.58626270,333,60838.64000000,3328.86153840,0
2017-12-23,0.05397000,0.06740000,0.04632000,0.05089000,353673.11000000,1514073599999,18935.45887350,547,59740.11000000,3433.69460690,0
2017-12-24,0.05573000,0.06156000,0.04650000,0.04679000,92997.08000000,1514159999999,4847.35729860,182,46435.38000000,2464.77551110,0
2017-12-25,0.04680000,0.05269000,0.02003000,0.03191000,84969.15000000,1514246399999,3645.25649100,258,18265.67000000,760.13677080,0
2017-12-26,0.04902000,0.04902000,0.00201000,0.02598000,232999.44000000,1514332799999,7166.58901710,398,112300.00000000,3868.97320830,0
2017-12-27,0.02600000,0.03526000,0.02000000,0.02504000,211666.13000000,1514419199999,6042.60255390,485,113885.40000000,3306.09016630,0
2017-12-28,0.02673000,0.03069000,0.02515000,0.02675000,196305.19000000,1514505599999,5478.16701710,538,97106.01000000,2741.32623080,0
2017-12-29,0.02675000,0.03492000,0.02675000,0.03327000,234323.95000000,1514591999999,7305.66906340,592,129798.19000000,4017.99646470,0
2017-12-30,0.03156000,0.05000000,0.03156000,0.04295000,447278.29000000,1514678399999,18227.84772130,727,212433.03000000,8615.65310550,0
2017-12-31,0.04587000,0.05340000,0.04158000,0.04666000,300670.59000000,1514764799999,14252.63429150,970,148646.21000000,7144.29494870,0
2018-01-01,0.04651000,0.05339000,0.04281000,0.05102000,118699.93000000,1514851199999,5836.14175250,527,68704.25000000,3392.67473040,0
2018-01-02,0.05120000,0.05688000,0.03895000,0.04632000,435340.35000000,1514937599999,21374.60754650,961,150850.40000000,7534.27178450,0
2018-01-03,0.04641000,0.05338000,0.04217000,0.05059000,315073.20000000,1515023999999,15363.67883610,976,178951.29000000,8914.33208080,0
2018-01-04,0.05059000,0.08500000,0.04942000,0.07587000,1299491.00000000,1515110399999,92390.46632750,2841,1011626.89000000,74011.84437170,0
2018-01-05,0.07010000,0.09975000,0.03800000,0.04614000,561013.25000000,1515196799999,37510.96999870,1417,211499.32000000,14028.06403310,0
2018-01-06,0.04219000,0.05610000,0.03306000,0.03410000,1250446.24000000,1515283199999,45481.60440090,1536,205297.42000000,9051.48236000,0
2018-01-07,0.03491000,0.04625000,0.03410000,0.04488000,360751.24000000,1515369599999,14470.02509730,740,212956.10000000,8753.08682140,0
2018-01-08,0.04299000,0.05851000,0.04013000,0.04500000,489186.69000000,1515455999999,23371.25904360,1051,189161.33000000,9225.24288740,0
2018-01-09,0.04599000,0.05550000,0.03928000,0.04869000,285885.13000000,1515542399999,13402.69451680,1177,122442.08000000,5790.20544470,0
2018-01-10,0.04869000,0.07643000,0.04801000,0.07400000,747189.47000000,1515628799999,47546.50941020,3130,348866.94000000,21736.64268350,0
2018-01-11,0.07400000,0.08401000,0.04350000,0.04525000,1597481.33000000,1515715199999,99595.95661320,6387,749001.32000000,46328.80004720,0
2018-01-12,0.04761000,0.05500000,0.03919000,0.05292000,493621.19000000,1515801599999,22767.06116160,2242,261712.29000000,12096.35212540,0
2018-01-13,0.05292000,0.05386000,0.04460000,0.04511000,358548.44000000,1515887999999,17495.61922050,1590,139582.76000000,6873.15557500,0
2018-01-14,0.04522000,0.04669000,0.04015000,0.04158000,336597.31000000,1515974399999,14478.09001420,1469,87665.32000000,3795.08311980,0
