timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-06-14,5.5e-05,5.5e-05,2.651e-05,2.698e-05,91107077.0,1529020799999,2764.7656145,5976,36344805.0,1108.42091787,0
2018-06-15,2.702e-05,2.85e-05,2.631e-05,2.638e-05,30214423.0,1529107199999,817.11866447,2722,14930108.0,404.55972051,0
2018-06-16,2.642e-05,2.702e-05,2.503e-05,2.579e-05,14181258.0,1529193599999,367.86979696,1378,6396612.0,165.87416452,0
2018-06-17,2.587e-05,2.606e-05,2.49e-05,2.507e-05,6495072.0,1529279999999,165.17469743,786,2264740.0,57.65172639,0
2018-06-18,2.51e-05,2.579e-05,2.4e-05,2.487e-05,12095073.0,1529366399999,298.77289628,923,3615867.0,89.73395754,0
2018-06-19,2.51e-05,2.526e-05,2.39e-05,2.428e-05,9261329.0,1529452799999,226.81317913,985,4214747.0,103.40992845,0
2018-06-20,2.41e-05,2.429e-05,2.36e-05,2.402e-05,8418013.0,1529539199999,201.24972105,744,4080967.0,97.76433598,0
2018-06-21,2.402e-05,2.422e-05,2.35e-05,2.42e-05,7233640.0,1529625599999,171.89800307,701,3514144.0,83.64116784,0
2018-06-22,2.41e-05,2.5e-05,2.3e-05,2.372e-05,10723565.0,1529711999999,255.581217,888,4601810.0,109.98736441,0
2018-06-23,2.372e-05,2.406e-05,2.3e-05,2.323e-05,5784496.0,1529798399999,135.50912113,494,2557083.0,60.01078388,0
2018-06-24,2.332e-05,2.356e-05,2.141e-05,2.283e-05,8408513.0,1529884799999,189.33899571,628,3538454.0,79.98331576,0
2018-06-25,2.303e-05,2.425e-05,2.25e-05,2.318e-05,14308031.0,1529971199999,332.06285477,7779,2194863.0,51.12039855,0
2018-06-26,2.317e-05,2.347e-05,2.251e-05,2.319e-05,7625939.0,1530057599999,175.25879148,693,4382557.0,100.86113525,0
2018-06-27,2.319e-05,2.335e-05,2.224e-05,2.294e-05,9058749.0,1530143999999,206.02103722,707,5061334.0,115.19195061,0
2018-06-28,2.286e-05,2.422e-05,2.23e-05,2.262e-05,7638335.0,1530230399999,176.94020753,20732,3155221.0,73.27517552,0
2018-06-29,2.252e-05,2.333e-05,2.215e-05,2.293e-05,8364816.0,1530316799999,190.06924754,697,4253494.0,97.1727138,0
2018-06-30,2.301e-05,2.47e-05,2.281e-05,2.371e-05,17726165.0,1530403199999,421.29671492,2361,5236477.0,124.10504036,0
2018-07-01,2.377e-05,2.467e-05,2.288e-05,2.403e-05,14209159.0,1530489599999,335.49190928,5185,5027009.0,118.31811545,0
2018-07-02,2.404e-05,2.486e-05,2.321e-05,2.39e-05,15703066.0,1530575999999,376.25549473,1772,7525215.0,180.68422412,0
2018-07-03,2.39e-05,2.475e-05,2.34e-05,2.37e-05,12862393.0,1530662399999,309.03430042,1227,5517998.0,132.83199226,0
2018-07-04,2.362e-05,2.439e-05,2.301e-05,2.34e-05,8676732.0,1530748799999,205.3553515,712,3262006.0,78.06151916,0
2018-07-05,2.34e-05,2.393e-05,2.258e-05,2.268e-05,10615492.0,1530835199999,244.20062749,777,3625574.0,83.9873445,0
2018-07-06,2.269e-05,2.371e-05,2.185e-05,2.282e-05,14976840.0,1530921599999,336.70131252,1224,6898131.0,155.55725754,0
2018-07-07,2.279e-05,2.4e-05,2.26e-05,2.262e-05,8918295.0,1531007999999,205.05661342,722,3553898.0,82.06939658,0
2018-07-08,2.263e-05,2.288e-05,2.2e-05,2.238e-05,8517477.0,1531094399999,191.72426111,612,4281065.0,96.47519333,0
2018-07-09,2.229e-05,2.782e-05,2.2e-05,2.414e-05,31216945.0,1531180799999,784.19378895,2595,15272615.0,381.38837293,0
2018-07-10,2.414e-05,2.7e-05,2.333e-05,2.43e-05,58875979.0,1531267199999,1447.19103914,3506,25219983.0,620.18449193,0
2018-07-11,2.43e-05,2.497e-05,2.37e-05,2.402e-05,22194319.0,1531353599999,537.73925201,1464,11464529.0,278.22773479,0
2018-07-12,2.398e-05,2.45e-05,2.305e-05,2.361e-05,6807946.0,1531439999999,161.07760975,641,2577390.0,61.33885022,0
2018-07-13,2.36e-05,2.45e-05,2.309e-05,2.36e-05,8252244.0,1531526399999,194.41087596,1584,4178007.0,98.77069835,0
2018-07-14,2.359e-05,2.405e-05,2.33e-05,2.358e-05,5004976.0,1531612799999,118.3723307,880,2515299.0,59.5361732,0
2018-07-15,2.359e-05,2.365e-05,2.285e-05,2.296e-05,5242547.0,1531699199999,121.7326282,1241,1854983.0,43.23233434,0
2018-07-16,2.309e-05,2.397e-05,2.293e-05,2.339e-05,8609756.0,1531785599999,201.45226285,2331,5044425.0,118.10129764,0
2018-07-17,2.338e-05,2.45e-05,2.317e-05,2.425e-05,8884866.0,1531871999999,211.98070005,2457,4331114.0,103.41913497,0
2018-07-18,2.424e-05,2.702e-05,2.402e-05,2.567e-05,29055994.0,1531958399999,746.36995965,4488,14740778.0,377.47601735,0
2018-07-19,2.589e-05,2.7e-05,2.53e-05,2.61e-05,18045287.0,1532044799999,471.22489214,3264,10328362.0,269.41642663,0
2018-07-20,2.622e-05,2.63e-05,2.366e-05,2.386e-05,26054777.0,1532131199999,645.64001308,2934,9653605.0,240.40900199,0
2018-07-21,2.386e-05,2.42e-05,2.328e-05,2.387e-05,8340421.0,1532217599999,197.64700124,1519,3778946.0,89.5684541,0
2018-07-22,2.399e-05,2.409e-05,2.313e-05,2.354e-05,7798397.0,1532303999999,183.21862776,1122,3109897.0,73.38915861,0
2018-07-23,2.355e-05,2.379e-05,2.231e-05,2.291e-05,21894622.0,1532390399999,509.04035912,2090,4540112.0,104.88033901,0
2018-07-24,2.291e-05,2.308e-05,2.162e-05,2.234e-05,26042375.0,1532476799999,581.34618743,2534,9625350.0,214.72030599,0
