timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-02-08,0.1,1.9,0.1,1.29,196034244.98,1612828799999,263188150.418806,543721,97591497.59,131828066.603187,0
2021-02-09,1.2901,4.45,1.2897,3.4637,381378132.86,1612915199999,1046437940.172072,1652151,201999888.04,555294914.266631,0
2021-02-10,3.4634,3.77,2.4,2.4788,135921672.05,1613001599999,402558581.8664631,806088,64973862.78,193448371.293057,0
2021-02-11,2.4775,2.9839,2.4699,2.6771,43471450.46,1613087999999,118946577.279094,298939,21180418.47,58075007.772194,0
2021-02-12,2.6799,2.9363,2.6,2.732,27308963.5,1613174399999,75048453.244882,189264,12693762.26,34999663.80742,0
2021-02-13,2.7325,2.85,2.51,2.62,19995742.96,1613260799999,53723473.659974,156084,8425815.3,22710271.765988,0
2021-02-14,2.62,3.4,2.56,2.9044,56700304.19,1613347199999,169592247.786232,385194,28717571.1,86070029.471526,0
2021-02-15,2.9,3.0506,2.51,2.74,32007775.08,1613433599999,89467128.808407,225315,14857610.79,41803413.919822,0
2021-02-16,2.739,3.18,2.65,2.876,25399773.94,1613519999999,74485516.043817,194847,12131398.54,35647620.379163,0
2021-02-17,2.8759,3.37,2.74,3.2424,30469118.42,1613606399999,92433569.498938,218895,15892753.62,48435608.734909,0
2021-02-18,3.2424,3.34,2.9947,3.092,21201372.77,1613692799999,66463589.143321,175502,9793525.85,30758822.049649,0
2021-02-19,3.0921,3.1516,2.65,2.7931,26936357.56,1613779199999,77313248.04273,192734,11155650.1,32108598.249832,0
2021-02-20,2.7969,2.8721,2.508,2.6364,22294492.38,1613865599999,60039118.577845,158557,9550295.27,25825513.045399,0
2021-02-21,2.6371,2.9,2.55,2.7715,17268342.47,1613951999999,46878308.371197,129779,8567504.33,23310381.5617,0
2021-02-22,2.7716,2.989,1.92,2.455,30111579.72,1614038399999,76845594.531353,193987,13744978.42,35334413.877274,0
2021-02-23,2.454,2.4772,1.5705,1.8939,26075725.84,1614124799999,50275461.303776,132627,12314626.65,23757227.204478,0
2021-02-24,1.8864,2.2536,1.762,1.9652,19313854.04,1614211199999,39273983.401085,125675,9376683.8,19121768.839355,0
2021-02-25,1.9745,2.1711,1.7888,1.8304,19659392.7,1614297599999,38723137.469069,120443,9408816.28,18560353.123592,0
2021-02-26,1.8305,1.8841,1.562,1.6995,15440927.36,1614383999999,26335860.65216,81475,7304233.62,12463711.77366,0
2021-02-27,1.6944,1.8475,1.65,1.7452,11112449.38,1614470399999,19520279.873819,66298,5690903.07,10014043.316329,0
2021-02-28,1.7452,1.7677,1.3666,1.47,13950760.63,1614556799999,21181330.951403,70621,6480986.29,9821636.713261,0
2021-03-01,1.47,1.7829,1.4655,1.7718,14556169.16,1614643199999,24104841.405407,74203,7459177.43,12362620.937945,0
2021-03-02,1.776,2.29,1.7014,2.1649,36461342.36,1614729599999,74047950.010194,200467,19020212.81,38616653.927728,0
2021-03-03,2.1647,2.28,1.9314,1.934,20726437.5,1614815999999,43452680.081118,121860,9976096.97,20964197.683538,0
2021-03-04,1.933,2.0218,1.7762,1.8253,16206225.81,1614902399999,30781770.755626,93142,7274365.47,13839011.385175,0
2021-03-05,1.8253,1.8253,1.6652,1.78,9595818.81,1614988799999,16760126.572455,52767,4625855.68,8087509.045553,0
2021-03-06,1.7799,2.0268,1.7431,1.8878,12454396.32,1615075199999,23589473.235564,82326,6255068.98,11884082.159705,0
2021-03-07,1.8867,2.053,1.8756,2.0169,10864137.27,1615161599999,21241245.40463,64834,5624113.52,11000420.484731,0
2021-03-08,2.0158,2.18,1.9005,2.1285,16385571.14,1615247999999,33426991.958044,112144,8183382.19,16763792.395314,0
2021-03-09,2.1284,2.18,2.0556,2.1549,10975940.81,1615334399999,23262803.718803,79258,5479120.93,11622461.435525,0
2021-03-10,2.1559,2.1747,1.8336,1.8691,11787917.2,1615420799999,23246206.991593,84405,5182501.83,10223721.964814,0
2021-03-11,1.8674,2.0899,1.8339,1.9209,12782704.76,1615507199999,25241414.068957,94575,6206290.47,12285727.809593,0
2021-03-12,1.9204,1.9865,1.7194,1.8242,11848411.24,1615593599999,22105726.447748,77897,5419382.07,10133159.548997,0
2021-03-13,1.8228,2.0007,1.7546,1.9315,10955109.44,1615679999999,20966555.015513,66029,5866280.31,11240791.512784,0
2021-03-14,1.931,2.945,1.76,2.68,78956755.54,1615766399999,201717066.232089,474522,41737564.55,106790717.171733,0
2021-03-15,2.6782,3.2,2.251,2.2875,54754747.61,1615852799999,147456319.002356,389310,27673406.5,74804510.987241,0
2021-03-16,2.2875,2.8863,2.11,2.8644,34698983.99,1615939199999,86022536.477182,226519,17935860.93,44594541.69933,0
2021-03-17,2.8682,3.047,2.5,2.714,23309148.39,1616025599999,63834830.968396,176414,11779489.62,32373021.057628,0
2021-03-18,2.7133,2.9,2.613,2.6739,15055664.88,1616111999999,41324991.103614,122850,7291289.55,20034932.006271,0
2021-03-19,2.6737,3.15,2.5413,3.1205,18582800.45,1616198399999,53382940.832023,140004,9690651.48,27883608.774766,0
2021-03-20,3.1203,3.5,2.9279,2.9718,32872906.55,1616284799999,106608479.418584,268273,16183602.2,52503202.145195,0
2021-03-21,2.9744,3.579,2.8555,3.4816,30961759.32,1616371199999,99036312.735575,283131,15413271.62,49407962.934479,0
2021-03-22,3.4802,3.9712,3.2462,3.5345,32052962.83,1616457599999,117927312.481647,292686,16669466.37,61369344.954509,0
2021-03-23,3.5233,3.813,3.2179,3.3166,20902209.02,1616543999999,73343768.191193,183868,10032270.07,35248424.554965,0
2021-03-24,3.3166,3.4575,2.6366,2.798,21790965.48,1616630399999,68546818.256138,164557,9900735.76,31246408.10544,0
2021-03-25,2.7932,2.9503,2.5,2.6869,23059757.76,1616716799999,62582842.223112,148733,11339935.25,30769855.470821,0
2021-03-26,2.6877,2.9765,2.6869,2.8593,13593234.48,1616803199999,39006999.765801,86630,6377180.75,18320161.771444,0
2021-03-27,2.8617,3.295,2.7749,3.0906,16734448.52,1616889599999,51105063.074948,115965,8455427.57,25841670.013413,0
2021-03-28,3.0926,3.45,3.0,3.167,14595934.16,1616975999999,47114406.023432,108100,7175768.27,23202773.569963,0
2021-03-29,3.1618,3.2666,3.0336,3.229,8903349.01,1617062399999,27939659.723776,66438,4418218.48,13871460.186372,0
2021-03-30,3.2324,3.4457,3.095,3.3469,13505803.24,1617148799999,43950848.544591,108472,7010288.93,22842499.89195,0
2021-03-31,3.3498,3.3512,2.8505,3.2344,13009854.19,1617235199999,40402560.429585,113466,6044915.62,18780209.69582,0
2021-04-01,3.2345,3.25,2.855,2.9655,10113029.94,1617321599999,30670510.653342,80173,4894329.12,14860473.983617,0
2021-04-02,2.9655,3.12,2.8769,3.017,9977443.29,1617407999999,30220360.31703,75313,4717209.92,14298332.268396,0
2021-04-03,3.0137,3.15,2.6732,2.7214,12194362.49,1617494399999,35807842.258793,104843,5868775.77,17261030.171773,0
2021-04-04,2.7199,2.97,2.678,2.9368,7625985.6,1617580799999,21771284.682476,62634,3671991.14,10489616.292237,0
2021-04-05,2.9367,3.22,2.77,3.0738,14391314.61,1617667199999,43363801.107218,105767,7143470.52,21517847.040918,0
2021-04-06,3.0741,3.1471,2.8,2.9378,11716387.14,1617753599999,34936559.852301,90634,5496658.96,16394181.760182,0
2021-04-07,2.9404,2.9691,2.5283,2.6365,13300711.94,1617839999999,36507652.762006,120624,6542167.53,17967354.002731,0
2021-04-08,2.6365,2.9063,2.5999,2.8777,11124632.44,1617926399999,30581306.2712,81102,5085465.56,13994899.618481,0
2021-04-09,2.8776,2.967,2.7849,2.8396,8155955.37,1618012799999,23471723.314298,66125,4022894.77,11578716.541197,0
2021-04-10,2.8397,3.1575,2.7839,2.9896,13085456.76,1618099199999,39049608.429915,101747,6370066.95,19015257.207859,0
2021-04-11,2.993,3.0046,2.85,2.9181,6512249.48,1618185599999,18923628.207114,50518,3192141.64,9278008.552682,0
2021-04-12,2.9181,3.3956,2.8852,3.2156,22697441.58,1618271999999,72196741.13772,172631,12011323.23,38257937.787119,0
2021-04-13,3.2163,3.625,3.0245,3.3715,22955680.12,1618358399999,77415723.040959,171813,11983100.5,40501887.345682,0
2021-04-14,3.3681,3.5335,3.02,3.1922,12392481.78,1618444799999,40229822.832202,118480,5933164.1,19316850.386218,0
2021-04-15,3.1863,3.3865,3.1001,3.2392,9155744.22,1618531199999,29995274.885674,77976,4413042.07,14466733.609335,0
2021-04-16,3.2379,3.2723,2.9145,3.0596,10057824.86,1618617599999,31264690.772489,85111,4802294.66,14947500.250199,0
2021-04-17,3.0633,3.25,2.9709,3.0001,7611135.72,1618703999999,23611190.25983,68298,3676705.16,11421325.101939,0
2021-04-18,3.0002,3.0288,2.0844,2.5293,18646659.97,1618790399999,47034468.403173,160187,8431424.86,21166742.707319,0
