timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-10-01,12.5,17.978,10.03,11.967,5676.23,1601596799999,74600.2531,170,3295.52,44260.48442,0
2020-10-02,12.036,12.098,10.614,11.004,17405.15,1601683199999,194148.32314,196,5078.35,56955.33948,0
2020-10-03,11.296,11.445,10.827,10.827,5596.24,1601769599999,62725.00034,71,2987.77,33371.71647,0
2020-10-04,10.625,10.65,10.268,10.61,2941.97,1601855999999,30992.84036,56,1375.55,14473.54888,0
2020-10-05,10.712,11.313,10.3,10.695,7968.91,1601942399999,86359.13764,125,3481.58,37952.98117,0
2020-10-06,10.598,10.598,8.891,8.91,32291.98,1602028799999,322417.83192,361,9939.78,100135.11205,0
2020-10-07,8.91,9.387,8.462,9.14,16578.86,1602115199999,149845.62597,176,10384.62,94938.53782,0
2020-10-08,9.19,10.541,8.981,10.248,11217.66,1602201599999,111356.28141,181,7016.49,69620.93306,0
2020-10-09,10.132,10.969,10.042,10.723,6001.72,1602287999999,63042.71123,91,1306.82,13868.86457,0
2020-10-10,10.823,10.97,9.907,10.124,14724.23,1602374399999,155720.65297,161,3404.71,36270.80137,0
2020-10-11,9.983,10.566,9.983,10.229,6380.03,1602460799999,65712.76387,72,1243.91,12825.47435,0
2020-10-12,10.288,10.659,9.836,10.338,30003.03,1602547199999,309433.79995,424,15167.22,158508.80096,0
2020-10-13,10.272,10.338,9.846,10.068,13930.11,1602633599999,140406.34579,559,3384.93,34227.4746,0
2020-10-14,10.082,10.11,9.384,9.624,10506.34,1602719999999,102789.9068,381,4017.73,39403.84739,0
2020-10-15,9.555,10.327,9.484,9.7,42627.24,1602806399999,417548.24734,496,8828.69,87316.4507,0
2020-10-16,9.598,9.85,9.246,9.465,11375.13,1602892799999,108267.46218,345,4111.79,39312.36908,0
2020-10-17,9.428,9.876,9.373,9.632,5681.19,1602979199999,54450.04227,136,2252.44,21705.7443,0
2020-10-18,9.708,9.828,9.654,9.67,3362.6,1603065599999,32624.4037,114,990.46,9648.10739,0
2020-10-19,9.705,9.705,9.4,9.426,7144.82,1603151999999,67714.69749,170,2104.95,19957.44414,0
2020-10-20,9.475,9.475,8.596,8.905,17425.87,1603238399999,155107.0154,261,2312.72,20763.53747,0
2020-10-21,8.976,9.447,8.526,9.0,25775.22,1603324799999,232686.35648,321,10774.73,97859.68573,0
2020-10-22,9.029,9.481,8.876,9.211,12856.16,1603411199999,118476.4964,284,5152.24,47569.61739,0
2020-10-23,9.176,9.379,8.748,8.926,17864.91,1603497599999,160425.49015,263,4889.57,44009.18705,0
2020-10-24,8.93,9.089,8.75,8.909,5074.92,1603583999999,45150.00365,141,1151.8,10297.73922,0
2020-10-25,8.887,8.887,8.65,8.662,4822.84,1603670399999,42166.34128,116,950.89,8323.47448,0
2020-10-26,8.638,8.692,7.417,8.285,64623.28,1603756799999,517493.81526,1200,25034.85,202291.08229,0
2020-10-27,8.222,8.554,7.65,8.23,77960.91,1603843199999,632082.82597,831,34174.18,278094.14098,0
2020-10-28,8.099,8.239,7.102,7.272,68933.31,1603929599999,535814.97772,647,27416.57,213549.00645,0
2020-10-29,7.403,7.478,6.705,7.315,124194.13,1604015999999,879739.36813,853,52357.83,371111.44073,0
2020-10-30,7.247,7.496,6.671,7.114,111837.58,1604102399999,785789.27393,791,50840.1,359017.17864,0
2020-10-31,7.043,7.372,6.849,6.88,39116.34,1604188799999,278140.90262,333,17743.7,127336.79909,0
2020-11-01,6.873,7.06,6.772,6.983,56851.66,1604275199999,393212.62118,304,31705.01,220025.81471,0
2020-11-02,6.949,7.369,6.803,6.842,32928.17,1604361599999,233577.28657,506,16021.33,114725.52126,0
2020-11-03,6.809,6.852,6.064,6.469,178693.76,1604447999999,1141317.88185,1697,70239.94,449543.78651,0
2020-11-04,6.469,6.681,6.158,6.438,193711.75,1604534399999,1252655.2801,2059,98144.13,634787.59796,0
2020-11-05,6.515,7.205,6.508,6.85,379041.64,1604620799999,2611577.37272,1446,194935.06,1343105.74214,0
2020-11-06,6.861,8.058,6.861,8.058,253641.76,1604707199999,1959119.82574,1706,135144.03,1042169.19051,0
2020-11-07,8.073,9.982,7.674,8.409,432994.25,1604793599999,3759855.71488,3569,209345.75,1815851.89132,0
2020-11-08,8.46,9.05,7.874,8.243,274286.25,1604879999999,2364100.35791,1900,117113.91,1011526.40465,0
2020-11-09,8.242,8.348,7.254,7.8,176999.88,1604966399999,1374969.06168,1368,76967.77,599431.80791,0
2020-11-10,7.746,8.55,7.643,8.311,299627.97,1605052799999,2457912.66777,1881,156738.23,1286116.8528,0
2020-11-11,8.32,8.463,7.466,7.528,718674.62,1605139199999,5640694.5754,3038,286231.89,2228407.81458,0
2020-11-12,7.511,7.511,6.854,6.921,38139.45,1605225599999,273035.16107,494,12519.0,88703.93535,0
2020-11-13,6.958,7.648,6.935,7.303,68314.82,1605311999999,497167.04847,543,34720.72,253077.8531,0
2020-11-14,7.339,7.5,6.83,7.248,38397.89,1605398399999,275457.68818,307,17777.96,129342.29554,0
2020-11-15,7.214,7.637,6.936,7.115,74320.0,1605484799999,539930.06751,536,37336.97,273098.47161,0
2020-11-16,7.067,8.065,7.0,7.956,96640.11,1605571199999,747010.89915,698,61028.25,470738.43763,0
2020-11-17,7.939,8.79,7.695,7.96,78597.57,1605657599999,645302.0602,614,41661.63,345437.1567,0
2020-11-18,8.03,8.11,7.14,7.53,133645.86,1605743999999,1001677.5528,706,46640.97,350544.0119,0
2020-11-19,7.51,7.51,7.05,7.2,41012.5,1605830399999,298251.6757,361,17094.82,124494.5573,0
2020-11-20,7.23,7.78,7.23,7.43,40184.69,1605916799999,303696.5753,561,24915.14,188629.5955,0
2020-11-21,7.47,8.56,7.46,8.45,96511.23,1606003199999,780791.3567,790,55243.36,448417.3038,0
2020-11-22,8.41,8.56,7.57,7.81,72816.67,1606089599999,580845.468,686,25218.19,203270.9021,0
2020-11-23,7.96,9.03,7.8,8.88,94653.35,1606175999999,797635.1072,786,52103.15,441071.3319,0
2020-11-24,8.94,9.68,8.35,9.4,151823.66,1606262399999,1359447.9443,1521,61031.87,546804.0109,0
2020-11-25,9.35,10.16,8.6,8.99,137165.81,1606348799999,1314108.05774,1635,67153.12,646168.33104,0
2020-11-26,8.94,9.2,6.3,7.52,377127.49,1606435199999,2835400.5527,2995,151054.32,1133886.9623,0
2020-11-27,7.58,8.2,7.23,7.58,73773.46,1606521599999,562900.359,674,33001.78,252578.9555,0
2020-11-28,7.54,7.85,7.21,7.57,46175.9,1606607999999,349979.9728,476,13450.82,101771.0612,0
2020-11-29,7.5,7.62,7.33,7.42,15222.07,1606694399999,113683.0489,230,3530.69,26384.1544,0
2020-11-30,7.47,8.13,7.2,7.64,265968.87,1606780799999,2032041.8859,1911,115490.2,895004.2191,0
2020-12-01,7.53,8.08,7.35,7.45,232689.23,1606867199999,1771717.2431,1153,110888.76,846080.4074,0
2020-12-02,7.4,7.72,7.28,7.57,43536.06,1606953599999,326383.5491,342,25835.83,194710.9035,0
2020-12-03,7.62,7.66,7.45,7.45,49280.07,1607039999999,370557.7561,338,5649.74,42688.1277,0
2020-12-04,7.52,7.55,6.73,6.86,55708.9,1607126399999,403643.5939,334,18312.33,131958.3013,0
2020-12-05,6.79,7.26,6.7,7.21,34597.79,1607212799999,242124.431,196,19519.24,138327.1282,0
2020-12-06,7.23,7.27,6.96,7.02,15415.3,1607299199999,109041.4062,151,3034.85,21511.6217,0
2020-12-07,7.04,7.26,6.96,7.14,37901.16,1607385599999,269085.743,189,18060.77,128145.3926,0
2020-12-08,7.09,7.19,6.65,6.67,24472.34,1607471999999,169050.337,232,7009.41,48754.5392,0
2020-12-09,6.67,6.75,6.19,6.75,60597.2,1607558399999,394935.9638,424,21496.6,140083.7584,0
2020-12-10,6.67,6.8,6.54,6.62,12096.51,1607644799999,80627.7572,101,4109.81,27404.9047,0
2020-12-11,6.6,6.6,6.33,6.33,32374.79,1607731199999,209027.4524,171,9832.58,63783.4911,0
2020-12-12,6.31,6.86,6.3,6.84,33703.21,1607817599999,224510.788,207,18493.15,122558.7816,0
2020-12-13,6.8,6.84,6.47,6.63,48925.29,1607903999999,326216.6917,286,12067.47,80538.8788,0
2020-12-14,6.59,6.75,6.47,6.72,37655.23,1607990399999,249666.023,206,22689.95,150749.7259,0
2020-12-15,6.71,7.48,6.65,7.3,88013.85,1608076799999,622460.7191,575,47536.06,336619.259,0
2020-12-16,7.36,7.47,7.01,7.15,95424.74,1608163199999,688756.7554,494,37536.33,272247.1928,0
2020-12-17,7.18,7.6,6.97,7.06,92620.14,1608249599999,673480.6934,622,32943.79,241307.8913,0
2020-12-18,7.04,7.23,6.94,7.09,18163.86,1608335999999,128428.6965,205,8337.83,59226.4578,0
2020-12-19,7.09,7.35,7.09,7.13,31831.14,1608422399999,230391.8248,331,17256.61,125373.4883,0
2020-12-20,7.11,7.3,6.94,7.05,36804.78,1608508799999,261849.7972,314,17435.77,124699.8185,0
2020-12-21,7.05,7.12,6.51,6.58,229372.23,1608595199999,1519129.6016,738,110255.33,729083.7218,0
2020-12-22,6.59,6.59,6.28,6.5,69251.2,1608681599999,446451.716,359,25447.93,163719.8524,0
2020-12-23,6.4,6.51,4.35,4.83,104331.67,1608767999999,584749.0124,778,35715.69,198357.3657,0
2020-12-24,4.79,5.53,4.59,5.51,78704.81,1608854399999,394644.1085,577,32618.77,161902.8545,0
2020-12-25,5.54,5.75,5.15,5.4,42614.58,1608940799999,233289.8866,358,16787.12,92346.6763,0
2020-12-26,5.33,5.35,4.97,5.22,60139.35,1609027199999,311378.2664,357,25388.76,132560.1783,0
2020-12-27,5.23,5.47,4.96,5.08,76268.55,1609113599999,399660.4956,479,30939.37,162388.7223,0
2020-12-28,5.12,5.39,4.98,5.05,61921.16,1609199999999,322722.7213,446,27502.77,143968.372,0
2020-12-29,5.07,5.09,4.52,4.72,40002.23,1609286399999,189649.7573,353,18686.98,88263.9562,0
2020-12-30,4.84,5.1,4.69,5.0,38126.27,1609372799999,186159.5354,269,25194.61,122981.4074,0
2020-12-31,4.93,5.59,4.8,5.57,48199.93,1609459199999,252104.496,420,34227.03,180297.3989,0
2021-01-01,5.57,5.77,5.11,5.37,52968.48,1609545599999,286199.0395,488,19902.5,107690.2988,0
2021-01-02,5.3,5.68,5.15,5.53,49889.68,1609631999999,270136.5176,1413,29773.92,161919.5068,0
2021-01-03,5.53,6.14,5.42,5.64,120463.63,1609718399999,691540.624,1057,48445.54,280945.4268,0
2021-01-04,5.74,6.69,5.13,5.46,209017.19,1609804799999,1169891.5497,1550,84718.91,484443.0452,0
2021-01-05,5.47,5.9,5.25,5.6,168745.84,1609891199999,941043.624,972,80392.68,449452.8565,0
2021-01-06,5.54,6.28,5.33,5.99,246016.78,1609977599999,1440857.2422,2156,130610.11,765647.5226,0
2021-01-07,5.98,7.01,5.72,6.51,443862.35,1610063999999,2801185.4353,4383,213402.26,1351789.3314,0
2021-01-08,6.53,7.43,5.88,7.4,575779.84,1610150399999,4011183.7326,5500,280718.97,1967016.6433,0
2021-01-09,7.38,8.39,7.16,7.8,668971.85,1610236799999,5272131.4351,6872,317700.21,2504149.1377,0
2021-01-10,7.81,8.86,6.56,7.61,716538.99,1610323199999,5489920.0369,5002,335898.3,2563608.8621,0
2021-01-11,7.58,7.58,5.8,6.44,451127.24,1610409599999,2949452.1414,2706,195800.88,1277454.7716,0
2021-01-12,6.34,6.91,6.02,6.08,262929.59,1610495999999,1682530.8384,1528,118952.58,761180.6724,0
2021-01-13,6.07,6.77,5.94,6.52,180375.34,1610582399999,1158335.3239,1378,106525.51,680888.6896,0
2021-01-14,6.59,6.7,6.18,6.45,195109.93,1610668799999,1269507.2682,1250,64973.31,424092.2978,0
2021-01-15,6.51,7.35,6.09,6.79,303821.17,1610755199999,2069406.2347,1894,155451.65,1063188.6596,0
2021-01-16,6.8,7.52,6.77,7.15,451119.99,1610841599999,3246532.223,2534,233237.18,1681661.2639,0
2021-01-17,7.09,7.82,6.79,7.7,296855.91,1610927999999,2167022.5841,2178,156801.32,1146090.4814,0
2021-01-18,7.7,8.66,7.2,8.61,902083.43,1611014399999,7347941.5867,4666,444598.88,3636911.3129,0
2021-01-19,8.61,8.67,7.38,7.6,487508.74,1611100799999,3874235.2588,3226,191060.94,1522941.1493,0
2021-01-20,7.6,7.8,7.02,7.59,282880.55,1611187199999,2101046.2257,2280,128137.66,957623.7713,0
2021-01-21,7.6,7.62,6.15,6.38,319369.51,1611273599999,2202398.5448,2291,113077.99,786034.8533,0
2021-01-22,6.37,7.07,5.99,6.55,277504.28,1611359999999,1849192.2567,1799,112121.73,751768.1974,0
2021-01-23,6.62,7.66,6.49,7.27,435470.78,1611446399999,3188316.5378,3508,235406.05,1724447.4904,0
2021-01-24,7.27,7.75,7.16,7.3,387061.28,1611532799999,2880575.807,3183,195590.51,1456608.9119,0
2021-01-25,7.31,8.15,7.13,7.31,693005.37,1611619199999,5352514.1645,5401,315016.27,2439092.6022,0
2021-01-26,7.29,7.83,7.04,7.55,415743.26,1611705599999,3118881.9159,3839,195431.31,1473610.8032,0
2021-01-27,7.6,10.56,7.57,9.35,1650137.65,1611791999999,14596570.6523,16514,869921.57,7670545.13,0
2021-01-28,9.32,10.08,8.77,8.77,890520.37,1611878399999,8329327.6764,4777,379786.27,3549888.4947,0
