timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-05-29,0.00002735,0.00002735,0.00002352,0.00002648,31745813.00000000,1527638399999,795.46903661,20886,15856786.00000000,397.46921573,0
2018-05-30,0.00002637,0.00004048,0.00002617,0.00003882,113629753.00000000,1527724799999,3848.86665474,106080,56808768.00000000,1929.65936986,0
2018-05-31,0.00003882,0.00003958,0.00003005,0.00003285,108917714.00000000,1527811199999,3640.32107823,86419,50911312.00000000,1702.48427551,0
2018-06-01,0.00003288,0.00003745,0.00003070,0.00003472,123519122.00000000,1527897599999,4255.68098116,87771,62348323.00000000,2152.15190873,0
2018-06-02,0.00003470,0.00003559,0.00003186,0.00003330,97943924.00000000,1527983999999,3292.56668276,75949,46140748.00000000,1551.53433894,0
2018-06-03,0.00003330,0.00003573,0.00003310,0.00003479,125757605.00000000,1528070399999,4345.28744302,79494,60801884.00000000,2101.60225378,0
2018-06-04,0.00003479,0.00003714,0.00003272,0.00003401,149567294.00000000,1528156799999,5188.88942628,82051,73501236.00000000,2553.94228250,0
2018-06-05,0.00003404,0.00003471,0.00003224,0.00003403,146018531.00000000,1528243199999,4932.80216087,132543,73053602.00000000,2468.25405003,0
2018-06-06,0.00003404,0.00003530,0.00003302,0.00003341,102434847.00000000,1528329599999,3483.58625977,82488,49070220.00000000,1669.22807782,0
2018-06-07,0.00003341,0.00003388,0.00003073,0.00003105,119190223.00000000,1528415999999,3870.85726491,113812,57325803.00000000,1861.05602649,0
2018-06-08,0.00003104,0.00003172,0.00003005,0.00003033,95683718.00000000,1528502399999,2947.81810308,66559,46298705.00000000,1426.10265957,0
2018-06-09,0.00003033,0.00003048,0.00002695,0.00002768,45046105.00000000,1528588799999,1305.59376774,26497,23566825.00000000,681.96453960,0
2018-06-10,0.00002768,0.00002823,0.00002584,0.00002632,40452832.00000000,1528675199999,1084.55098381,22985,21831287.00000000,585.60699732,0
2018-06-11,0.00002630,0.00003130,0.00002628,0.00002935,54587097.00000000,1528761599999,1588.86013718,41760,30707621.00000000,894.05723936,0
2018-06-12,0.00002928,0.00003000,0.00002669,0.00002771,39470738.00000000,1528847999999,1128.65610681,21352,22159901.00000000,634.27802136,0
2018-06-13,0.00002762,0.00002783,0.00002446,0.00002578,40695665.00000000,1528934399999,1064.16966572,20263,22378485.00000000,585.08832145,0
2018-06-14,0.00002582,0.00002671,0.00002491,0.00002615,40108120.00000000,1529020799999,1034.64543287,21043,23333049.00000000,602.26647381,0
2018-06-15,0.00002615,0.00002625,0.00002490,0.00002524,31947023.00000000,1529107199999,812.53184203,13621,20273651.00000000,515.42975851,0
2018-06-16,0.00002524,0.00002600,0.00002481,0.00002540,29968055.00000000,1529193599999,755.55001418,12239,20200755.00000000,509.52839266,0
2018-06-17,0.00002540,0.00002573,0.00002446,0.00002462,29537043.00000000,1529279999999,733.41210204,12366,21483282.00000000,533.62161759,0
2018-06-18,0.00002467,0.00002478,0.00002283,0.00002393,32533569.00000000,1529366399999,772.37692822,17328,20500974.00000000,487.34143923,0
2018-06-19,0.00002394,0.00002405,0.00002239,0.00002267,28417608.00000000,1529452799999,651.13995076,14570,17282845.00000000,396.03402242,0
2018-06-20,0.00002266,0.00002307,0.00002158,0.00002193,30119036.00000000,1529539199999,664.94848597,12645,15198878.00000000,335.85798767,0
2018-06-21,0.00002194,0.00002515,0.00002180,0.00002276,37250462.00000000,1529625599999,869.86247469,22774,21304875.00000000,497.64149918,0
2018-06-22,0.00002279,0.00002440,0.00002044,0.00002073,40916787.00000000,1529711999999,910.06715585,23316,23460823.00000000,522.03682969,0
2018-06-23,0.00002069,0.00002150,0.00002000,0.00002019,31408425.00000000,1529798399999,641.06115221,11946,16937095.00000000,345.54555901,0
2018-06-24,0.00002020,0.00002451,0.00001808,0.00002232,40669311.00000000,1529884799999,842.87950614,25726,22852844.00000000,473.67967813,0
2018-06-25,0.00002230,0.00002819,0.00002111,0.00002561,56872338.00000000,1529971199999,1383.41602844,43738,31074768.00000000,752.82603190,0
2018-06-26,0.00002561,0.00002962,0.00002420,0.00002528,44236758.00000000,1530057599999,1213.26473653,35206,22933652.00000000,629.58361176,0
2018-06-27,0.00002528,0.00003050,0.00002470,0.00002661,58914268.00000000,1530143999999,1587.84014191,43540,31291494.00000000,842.21813191,0
2018-06-28,0.00002656,0.00002700,0.00002300,0.00002371,42451361.00000000,1530230399999,1071.09618426,24092,21672366.00000000,548.33348248,0
2018-06-29,0.00002365,0.00002737,0.00002235,0.00002580,41229321.00000000,1530316799999,980.23862772,22214,22493449.00000000,534.34597832,0
2018-06-30,0.00002579,0.00002707,0.00002430,0.00002550,40940601.00000000,1530403199999,1050.38475153,25695,21169404.00000000,543.69451092,0
2018-07-01,0.00002549,0.00002624,0.00002416,0.00002552,29659649.00000000,1530489599999,748.90479347,16176,14741310.00000000,372.64749002,0
2018-07-02,0.00002553,0.00002591,0.00002418,0.00002474,30822961.00000000,1530575999999,770.48444297,18846,15749791.00000000,394.05452374,0
2018-07-03,0.00002472,0.00002700,0.00002441,0.00002514,38559483.00000000,1530662399999,982.00872856,25904,18667512.00000000,476.31567531,0
2018-07-04,0.00002515,0.00002557,0.00002402,0.00002477,18548298.00000000,1530748799999,461.06206525,10317,8801734.00000000,219.10968347,0
2018-07-05,0.00002465,0.00002570,0.00002328,0.00002359,26233841.00000000,1530835199999,643.04980968,15344,13054960.00000000,320.18184549,0
2018-07-06,0.00002359,0.00002493,0.00002251,0.00002388,19863583.00000000,1530921599999,469.38675184,12636,9664629.00000000,228.86230028,0
2018-07-07,0.00002386,0.00002436,0.00002280,0.00002381,20476353.00000000,1531007999999,478.03860852,9804,9653797.00000000,225.78881521,0
2018-07-08,0.00002382,0.00002400,0.00002265,0.00002346,21687711.00000000,1531094399999,508.26300484,11605,9640859.00000000,226.21302690,0
2018-07-09,0.00002347,0.00002350,0.00002143,0.00002149,22088270.00000000,1531180799999,502.69483062,10992,9253081.00000000,210.72627651,0
2018-07-10,0.00002153,0.00002198,0.00002033,0.00002059,21099768.00000000,1531267199999,443.59268526,12359,9308195.00000000,195.88488440,0
2018-07-11,0.00002056,0.00002080,0.00001901,0.00002014,22168482.00000000,1531353599999,443.14583666,14055,9359316.00000000,187.27982950,0
2018-07-12,0.00002016,0.00002150,0.00001917,0.00002047,16393350.00000000,1531439999999,326.48966506,11311,6886453.00000000,137.36572847,0
