timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-01-25,1.00000000,4.88750000,0.99980000,1.00000000,164107.88000000,1611619199999,164780.42594100,279,72452.98000000,73129.36539900,0
2021-01-26,1.00020000,1.00020000,0.99970000,0.99970000,492653.81000000,1611705599999,492625.80732200,505,192992.49000000,193005.84855600,0
2021-01-27,0.99980000,1.00020000,0.99970000,0.99970000,527622.76000000,1611791999999,527577.36343800,739,273179.66000000,273172.36038300,0
2021-01-28,0.99970000,1.00020000,0.99950000,1.00010000,2288858.92000000,1611878399999,2288682.66574900,1989,613685.42000000,613718.67884900,0
2021-01-29,1.00010000,1.01000000,0.21000000,1.00010000,5997863.69000000,1611964799999,5997235.78723300,4980,2724447.61000000,2724689.32861300,0
2021-01-30,1.00010000,1.00440000,0.99960000,1.00000000,1766779.69000000,1612051199999,1766664.35333500,2930,686217.91000000,686275.40402400,0
2021-01-31,1.00000000,1.00480000,0.99980000,1.00000000,1496291.36000000,1612137599999,1496295.86390000,2256,697721.76000000,697792.15052100,0
2021-02-01,1.00000000,1.13740000,0.99980000,1.00010000,1664845.70000000,1612223999999,1665300.08310800,4586,868289.09000000,868772.69007500,0
2021-02-02,0.99990000,1.00040000,0.99980000,0.99990000,3599217.69000000,1612310399999,3599022.93238600,3560,1555597.48000000,1555616.52282600,0
2021-02-03,1.00000000,1.00330000,0.99820000,1.00000000,4731894.15000000,1612396799999,4731751.85396600,3938,2511274.68000000,2511375.87853000,0
2021-02-04,1.00000000,1.00020000,0.99930000,0.99990000,4966473.45000000,1612483199999,4966228.29805900,5262,2592916.63000000,2592976.90943900,0
2021-02-05,1.00000000,1.00040000,0.99990000,0.99990000,3359137.44000000,1612569599999,3359088.04660500,4863,2456804.75000000,2456844.79109600,0
2021-02-06,0.99990000,1.00100000,0.99960000,1.00000000,2566088.07000000,1612655999999,2566105.76025300,3509,1766592.44000000,1766690.49252100,0
2021-02-07,0.99990000,1.00010000,0.99980000,1.00000000,1865163.29000000,1612742399999,1865074.21889500,2316,953074.22000000,953080.14303900,0
2021-02-08,1.00000000,1.11000000,0.99940000,0.99990000,4301277.39000000,1612828799999,4301358.39915500,3975,2159854.14000000,2160187.21199400,0
2021-02-09,1.00000000,1.00700000,0.99950000,0.99990000,4625389.88000000,1612915199999,4625416.86631300,4178,2198706.58000000,2198992.31373000,0
2021-02-10,1.00010000,1.00590000,0.99970000,1.00000000,7233420.43000000,1613001599999,7233319.84064000,8628,5223508.72000000,5223658.50847900,0
2021-02-11,1.00000000,1.00010000,0.99960000,1.00000000,5042868.81000000,1613087999999,5042462.50585200,7468,2897032.16000000,2896913.15309200,0
2021-02-12,1.00000000,1.00070000,0.99960000,0.99980000,9114863.10000000,1613174399999,9113985.42647300,9743,5348410.90000000,5348150.61316800,0
2021-02-13,0.99980000,1.00130000,0.99970000,0.99990000,5955763.64000000,1613260799999,5955631.07162700,10262,4585448.03000000,4585471.37153900,0
2021-02-14,0.99990000,1.00010000,0.99950000,0.99980000,6346004.61000000,1613347199999,6345156.74963000,8847,5125656.87000000,5125047.50048800,0
2021-02-15,1.00000000,1.00060000,0.99920000,0.99970000,4530066.56000000,1613433599999,4529595.83821800,4119,3030739.11000000,3030541.12672300,0
2021-02-16,0.99990000,1.00060000,0.99970000,1.00000000,6636376.00000000,1613519999999,6635732.42617300,4884,4724897.44000000,4724529.98570500,0
2021-02-17,1.00000000,1.00010000,0.99940000,0.99970000,4633627.21000000,1613606399999,4633084.36099000,3333,3006774.68000000,3006489.34189800,0
2021-02-18,1.00010000,1.00060000,0.99900000,0.99990000,6504099.81000000,1613692799999,6503285.02307900,9414,4264632.08000000,4264235.48892700,0
2021-02-19,0.99990000,1.00010000,0.99940000,1.00000000,6059875.82000000,1613779199999,6058947.27774000,9309,2924766.71000000,2924466.51416000,0
2021-02-20,1.00000000,1.00040000,0.99960000,0.99990000,6672501.34000000,1613865599999,6671914.00371000,7609,4046083.75000000,4045875.44909900,0
2021-02-21,0.99990000,1.00060000,0.99930000,0.99990000,5215229.32000000,1613951999999,5214617.63046300,4856,2678148.49000000,2677888.29766000,0
2021-02-22,0.99990000,1.03390000,0.99950000,0.99990000,9450311.93000000,1614038399999,9450288.57481900,9578,6781609.38000000,6781896.42146300,0
2021-02-23,1.00000000,1.03390000,0.99960000,0.99990000,6163228.23000000,1614124799999,6163723.50333900,10319,4745645.65000000,4746178.54019300,0
2021-02-24,0.99990000,1.00100000,0.99970000,0.99990000,3938325.24000000,1614211199999,3938124.30032700,6510,1750396.72000000,1750404.59314600,0
2021-02-25,0.99990000,1.00010000,0.95500000,1.00010000,3000448.41000000,1614297599999,2999864.05349800,2653,1542587.83000000,1542534.97890300,0
2021-02-26,1.00000000,1.00030000,0.99950000,0.99990000,2045788.38000000,1614383999999,2045835.50299200,2806,1415535.59000000,1415645.90064600,0
2021-02-27,0.99990000,1.00030000,0.99960000,0.99990000,2576647.22000000,1614470399999,2576609.77647600,2454,1514903.27000000,1514972.66151200,0
2021-02-28,0.99990000,1.00010000,0.99970000,1.00000000,2582727.97000000,1614556799999,2582475.81425500,2338,923709.07000000,923700.76570300,0
2021-03-01,1.00000000,1.00000000,0.99970000,1.00000000,2750060.44000000,1614643199999,2749729.12321700,2052,894692.12000000,894640.54069900,0
2021-03-02,1.00000000,1.00020000,0.99980000,1.00000000,2661355.85000000,1614729599999,2661424.16351400,2702,2328187.97000000,2328276.70270400,0
