timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-11-06,0.0945,0.3,0.0945,0.1503,903813.96,1510012799999,145007.867063,770,419239.74,67703.753129,10418419.58930082
2017-11-07,0.152,0.1638,0.1305,0.1325,767204.81,1510099199999,118381.043185,580,318966.29,50232.544858,14664891.89655595
2017-11-08,0.1349,0.1556,0.1113,0.118,497721.12,1510185599999,65558.028514,291,180912.29,24128.704205,17585189.29603379
2017-11-09,0.1398,0.1449,0.1189,0.125,356545.69,1510271999999,47071.270045,306,182708.14,24543.910994,21184154.66229176
2017-11-10,0.1253,0.14,0.1253,0.1313,113169.62,1510358399999,15280.515993,162,66277.31,9046.173548,20284992.3058598
2017-11-11,0.1293,0.1516,0.1203,0.14,333563.09,1510444799999,43920.031757,332,207155.73,27344.752853,20794028.09815526
2017-11-12,0.14,0.1498,0.122,0.1405,218589.5,1510531199999,29847.214933,668,104086.32,14348.541121,21839846.40936767
2017-11-13,0.1331,0.1468,0.126,0.129,29637.96,1510617599999,3834.936774,56,7915.76,1068.179086,22493925.21702185
2017-11-14,0.14,0.1531,0.1295,0.1531,317906.53,1510703999999,43553.756775,406,135836.56,19009.837884,24350509.56920221
2017-11-15,0.1469,0.1818,0.1424,0.1678,408653.71,1510790399999,65787.064961,388,322655.52,51793.435466,25848809.58294175
2017-11-16,0.1677,0.21,0.1599,0.175,624441.18,1510876799999,112034.837641,673,395650.78,73212.138901,34410855.16728169
2017-11-17,0.175,0.1824,0.1642,0.1642,293692.26,1510963199999,49661.410252,242,80587.77,13935.195513,35254821.21684536
2017-11-18,0.1677,0.1767,0.155,0.1596,125304.78,1511049599999,20192.561343,231,8116.03,1312.47906,35466363.12753962
2017-11-19,0.1585,0.1632,0.148,0.1546,116780.06,1511135999999,18046.097053,230,10778.91,1683.780876,43441525.92874833
2017-11-20,0.1538,0.1768,0.1446,0.1664,102482.38,1511222399999,16582.918826,424,36571.6,6189.626519,47995096.80389949
2017-11-21,0.1644,0.174,0.1506,0.174,156928.2,1511308799999,25049.992019,334,96532.26,15629.467177,49868024.25699211
2017-11-22,0.1739,0.1739,0.1556,0.1608,37067.32,1511395199999,6067.406414,296,16940.12,2769.919112,52378045.19578957
2017-11-23,0.1619,0.1665,0.1492,0.1508,130170.22,1511481599999,20482.681654,657,64354.59,10172.592708,53957075.5469542
2017-11-24,0.1508,0.155,0.1325,0.1506,149167.91,1511567999999,21342.610011,800,60626.8,8837.485913,54920289.42586054
2017-11-25,0.1505,0.1647,0.1314,0.1357,144172.61,1511654399999,20265.191403,772,69410.55,9979.215978,54358085.76436558
2017-11-26,0.1357,0.1378,0.1239,0.132,127276.68,1511740799999,16422.55352,310,38854.61,5158.355467,54360437.34436468
2017-11-27,0.132,0.1449,0.1231,0.1293,66582.44,1511827199999,8640.052792,273,10412.26,1425.184516,55366127.47296704
2017-11-28,0.1281,0.1556,0.1224,0.1395,140330.49,1511913599999,18620.749498,406,38626.69,5400.660213,55465961.42082857
2017-11-29,0.1408,0.1514,0.1212,0.1316,139795.89,1511999999999,18819.337017,491,52433.25,7233.076447,57800905.39908794
2017-11-30,0.1303,0.1361,0.1133,0.1294,123147.15,1512086399999,15204.915428,491,48689.51,6102.206555,59887226.76617335
2017-12-01,0.1282,0.168,0.1157,0.1593,235511.96,1512172799999,34633.618797,667,114489.8,16346.942894,65321905.0809637
2017-12-02,0.1598,0.181,0.1458,0.1798,185127.02,1512259199999,30044.55241,546,111406.33,18338.60005,70568718.16216375
2017-12-03,0.1774,0.2099,0.1651,0.1968,219039.01,1512345599999,40684.917624,528,73381.54,13643.907088,73093081.38227709
2017-12-04,0.1943,0.2078,0.1597,0.1998,95842.91,1512431999999,17727.149609,465,28520.34,5430.083078,80001353.18052483
2017-12-05,0.1998,0.279,0.1579,0.2686,652562.8,1512518399999,146203.105733,1358,292774.4,69350.110852,84319154.35253194
2017-12-06,0.2659,0.2686,0.2179,0.2264,279376.09,1512604799999,66237.159309,850,181977.15,42770.539579,93241183.05118027
2017-12-07,0.2264,0.2529,0.1574,0.1656,259703.63,1512691199999,47418.778512,858,61919.84,12446.629455,92616091.88633004
2017-12-08,0.1689,0.2531,0.1689,0.2002,194819.88,1512777599999,40743.741075,1013,99770.94,21593.685095,92405288.35205464
2017-12-09,0.2002,0.223,0.197,0.2093,63046.45,1512863999999,13135.555453,449,27392.72,5696.006485,92764105.27438033
2017-12-10,0.2077,0.2108,0.1822,0.1864,21600.29,1512950399999,4125.301954,248,9564.0,1850.476429,93516544.7880275
2017-12-11,0.1864,0.2147,0.1728,0.214,50509.7,1513036799999,9958.141473,574,30592.49,6149.623525,93946816.1422952
2017-12-12,0.2124,0.2223,0.195,0.2189,104266.17,1513123199999,21665.486893,657,54608.5,11459.646721,97562901.9864316
2017-12-13,0.215,0.2179,0.1822,0.1953,66016.84,1513209599999,12960.511515,418,24672.61,4920.513159,98115632.99962848
2017-12-14,0.1955,0.24,0.16,0.208,102228.42,1513295999999,20770.270694,1197,49168.6,10197.477002,98449162.37998098
