timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-03-20,0.04000000,0.11792000,0.03216000,0.03344000,3766973.23000000,1521590399999,133090.93047190,8099,898524.79000000,32351.26367810,0
2018-03-21,0.03305000,0.03345000,0.02832000,0.02873000,2115023.55000000,1521676799999,66842.15600590,4533,768798.51000000,24117.70988580,0
2018-03-22,0.02877000,0.02978000,0.02692000,0.02903000,953152.77000000,1521763199999,27396.70404240,2680,363465.00000000,10471.17857580,0
2018-03-23,0.02903000,0.02936000,0.02261000,0.02332000,684460.01000000,1521849599999,17863.39779700,1822,317721.42000000,8299.26568290,0
2018-03-24,0.02375000,0.02471000,0.01911000,0.02133000,840558.07000000,1521935999999,18814.50855170,1727,287016.91000000,6521.08013160,0
2018-03-25,0.02071000,0.02430000,0.01946000,0.02240000,2527216.60000000,1522022399999,58555.68292800,3717,671392.66000000,15363.49534610,0
2018-03-26,0.02252000,0.02348000,0.02133000,0.02188000,844404.20000000,1522108799999,18817.33380100,2029,527239.41000000,11724.08257610,0
2018-03-27,0.02155000,0.02300000,0.02116000,0.02148000,293637.39000000,1522195199999,6446.74938710,763,121150.54000000,2654.57588200,0
2018-03-28,0.02127000,0.02346000,0.02070000,0.02169000,757620.66000000,1522281599999,16720.03063980,1101,591748.70000000,13130.01035500,0
2018-03-29,0.02166000,0.02194000,0.02063000,0.02169000,742422.05000000,1522367999999,15926.89146260,1333,195769.12000000,4198.98479200,0
2018-03-30,0.02156000,0.02213000,0.02098000,0.02122000,319919.35000000,1522454399999,6898.52365230,1137,163673.77000000,3532.52743020,0
2018-03-31,0.02122000,0.02164000,0.01935000,0.01980000,379781.69000000,1522540799999,7678.88171400,1015,161391.00000000,3295.39490390,0
2018-04-01,0.01962000,0.02016000,0.01874000,0.01874000,194457.05000000,1522627199999,3772.58403130,416,79492.70000000,1546.05988510,0
2018-04-02,0.01874000,0.02030000,0.01759000,0.01772000,156574.91000000,1522713599999,2924.74052100,701,64000.65000000,1197.76722200,0
2018-04-03,0.01758000,0.02010000,0.01749000,0.01934000,678249.04000000,1522799999999,12764.27089420,1846,315317.29000000,6007.32960790,0
2018-04-04,0.01920000,0.02005000,0.01812000,0.01821000,325023.27000000,1522886399999,6186.76754510,1160,152169.80000000,2909.77221920,0
2018-04-05,0.01838000,0.02038000,0.01721000,0.01774000,408865.08000000,1522972799999,7317.53280230,992,166180.95000000,3025.24155990,0
2018-04-06,0.01768000,0.01800000,0.01713000,0.01767000,123389.55000000,1523059199999,2177.04794710,373,49614.01000000,877.08679860,0
2018-04-07,0.01767000,0.01841000,0.01759000,0.01780000,1225020.07000000,1523145599999,22130.53422270,2419,1112152.50000000,20102.60314010,0
2018-04-08,0.01780000,0.01940000,0.01775000,0.01940000,163183.52000000,1523231999999,3029.77952670,592,90610.39000000,1687.99515040,0
2018-04-09,0.01950000,0.01999000,0.01870000,0.01934000,299534.98000000,1523318399999,5793.53312440,912,139258.42000000,2696.82776670,0
2018-04-10,0.01908000,0.01960000,0.01838000,0.01937000,126267.15000000,1523404799999,2392.51503330,503,63178.32000000,1196.02112400,0
2018-04-11,0.01950000,0.02070000,0.01938000,0.02013000,156221.29000000,1523491199999,3115.35884030,683,79311.49000000,1578.80789420,0
2018-04-12,0.01987000,0.02200000,0.01961000,0.02146000,350676.93000000,1523577599999,7288.66823210,1319,185329.06000000,3840.75823340,0
2018-04-13,0.02146000,0.02398000,0.02032000,0.02076000,641160.49000000,1523663999999,14242.46441400,2006,268800.24000000,5898.04972320,0
2018-04-14,0.02083000,0.02320000,0.02079000,0.02320000,392449.39000000,1523750399999,8738.63362360,1088,145251.87000000,3200.81252540,0
2018-04-15,0.02316000,0.02783000,0.02316000,0.02736000,1004847.60000000,1523836799999,25469.52300970,3327,479956.24000000,12186.87939270,0
2018-04-16,0.02743000,0.02948000,0.02577000,0.02820000,957642.17000000,1523923199999,26503.62572920,3365,341548.81000000,9460.04408560,0
2018-04-17,0.02813000,0.03105000,0.02676000,0.02891000,577924.28000000,1524009599999,16114.91423970,1692,345458.57000000,9627.00792720,0
2018-04-18,0.02887000,0.03193000,0.02877000,0.03060000,525470.62000000,1524095999999,16093.03350530,1984,244257.32000000,7484.84536330,0
2018-04-19,0.03060000,0.03200000,0.02984000,0.03103000,370594.87000000,1524182399999,11505.35001050,1519,196545.83000000,6112.63336090,0
2018-04-20,0.03120000,0.03271000,0.03109000,0.03208000,444410.39000000,1524268799999,14125.60320160,1581,218536.04000000,6947.86089990,0
2018-04-21,0.03209000,0.03288000,0.02614000,0.02851000,624696.62000000,1524355199999,18475.13219310,1921,264063.48000000,7750.45149210,0
2018-04-22,0.02853000,0.03277000,0.02820000,0.03000000,271618.34000000,1524441599999,8208.08888510,981,123494.93000000,3752.86513250,0
2018-04-23,0.02998000,0.03015000,0.02784000,0.02895000,337156.78000000,1524527999999,9713.73322720,1222,130641.62000000,3787.67703410,0
2018-04-24,0.02891000,0.02993000,0.02680000,0.02838000,482207.15000000,1524614399999,13594.95447160,1734,278583.89000000,7836.39327260,0
2018-04-25,0.02813000,0.03074000,0.02631000,0.02791000,708856.08000000,1524700799999,19832.47820260,3191,406132.86000000,11329.49403810,0
2018-04-26,0.02791000,0.02821000,0.02601000,0.02745000,320793.27000000,1524787199999,8730.47037540,2008,174476.55000000,4750.36619310,0
2018-04-27,0.02745000,0.03299000,0.02698000,0.02705000,593399.76000000,1524873599999,16709.28419230,1926,342668.08000000,9715.07704360,0
2018-04-28,0.02704000,0.02847000,0.02593000,0.02788000,359695.96000000,1524959999999,9716.68512950,2059,181322.44000000,4890.87281940,0
2018-04-29,0.02788000,0.02892000,0.02746000,0.02826000,321841.85000000,1525046399999,9063.62768950,1797,168522.54000000,4747.79787390,0
