timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-02-11,2.555,9.5,2.555,2.9178,55305.25,1581465599999,154919.338243,516,26796.36,74838.548177,0
2020-02-12,2.9282,3.5792,2.9282,3.3073,121734.35,1581551999999,396911.195512,1586,46798.52,153624.868484,0
2020-02-13,3.2929,3.3805,2.9067,3.1182,98794.26,1581638399999,309676.352807,1505,45177.67,141488.623357,0
2020-02-14,3.1374,3.5557,3.0595,3.4854,51447.68,1581724799999,173508.637166,683,22665.21,76489.876605,0
2020-02-15,3.5006,3.5424,2.9834,3.1621,64385.81,1581811199999,207048.692427,1071,21248.31,68468.001933,0
2020-02-16,3.1935,3.2935,2.7517,3.2484,52372.44,1581897599999,161170.062194,737,27382.69,84345.757889,0
2020-02-17,3.2314,3.2339,2.7683,3.1641,99930.35,1581983999999,305615.162869,1112,30567.42,92574.681562,0
2020-02-18,3.1477,3.5491,3.0934,3.4399,75407.81,1582070399999,249327.594609,929,51308.96,169329.510291,0
2020-02-19,3.438,3.9461,3.3558,3.5396,82637.48,1582156799999,300018.317153,1156,39698.02,145513.607741,0
2020-02-20,3.5278,3.889,3.442,3.6229,106805.96,1582243199999,388219.837594,1302,39615.89,145634.403523,0
2020-02-21,3.5982,3.7542,3.3888,3.4898,75779.44,1582329599999,275048.134092,886,34468.66,125189.651505,0
2020-02-22,3.4637,3.5206,3.2488,3.3167,82162.36,1582415999999,277828.997814,1103,9411.97,31857.375468,0
2020-02-23,3.3317,3.5858,3.3289,3.5353,26809.22,1582502399999,92984.605981,561,12117.78,41884.891632,0
2020-02-24,3.5144,3.5144,2.9591,3.1961,118124.73,1582588799999,383278.150416,1619,39575.83,129595.315388,0
2020-02-25,3.1843,3.1843,2.7139,2.7879,106870.18,1582675199999,307720.197373,1669,31591.85,90695.07246,0
2020-02-26,2.7805,2.9767,2.5247,2.7715,228968.73,1582761599999,620626.103616,3256,87438.03,237810.276741,0
2020-02-27,2.748,2.9932,2.55,2.8031,192349.57,1582847999999,538213.626816,3080,65191.88,183407.802282,0
2020-02-28,2.8057,2.8988,2.6082,2.7933,112921.65,1582934399999,309485.317008,1529,50569.96,138376.654092,0
2020-02-29,2.8011,2.9998,2.7328,2.7446,67726.63,1583020799999,194903.28858,1139,32159.5,92841.941502,0
2020-03-01,2.7351,2.8328,2.5734,2.6103,56108.41,1583107199999,150106.397055,875,23925.81,64947.030368,0
2020-03-02,2.6035,2.89,2.5502,2.7905,74750.77,1583193599999,205545.065232,1116,27368.41,74999.153646,0
2020-03-03,2.795,2.82,2.65,2.7607,59735.49,1583279999999,162916.202147,863,24369.48,66573.020558,0
2020-03-04,2.7582,3.1,2.7359,3.1,87167.0,1583366399999,253299.010834,1421,47264.03,138692.812687,0
2020-03-05,3.13,3.3246,3.0125,3.0798,152573.81,1583452799999,486114.920901,2046,64900.73,207925.897226,0
2020-03-06,3.0855,3.2316,3.0348,3.176,83931.71,1583539199999,261624.642587,1079,43961.64,137369.570714,0
2020-03-07,3.1697,3.2725,2.9814,2.9893,85766.84,1583625599999,269207.138719,1100,34344.3,108441.272033,0
2020-03-08,2.99,2.99,2.5588,2.5818,145219.07,1583711999999,402561.954961,1942,55054.88,152573.026532,0
2020-03-09,2.6051,2.6661,2.2675,2.5397,461244.83,1583798399999,1112019.229921,3812,354977.03,854377.531185,0
2020-03-10,2.5467,2.75,2.4786,2.5873,106042.55,1583884799999,277193.937268,1347,44774.61,117527.383331,0
2020-03-11,2.5794,2.6698,2.2983,2.519,115329.01,1583971199999,285779.328986,1584,67610.31,167129.25539,0
2020-03-12,2.5195,2.5195,1.2852,1.3229,464223.87,1584057599999,823391.318223,7133,227088.96,403778.602626,0
2020-03-13,1.32,1.9398,0.954,1.7679,427512.12,1584143999999,607424.052403,4689,229405.36,335174.148203,0
2020-03-14,1.7741,1.8425,1.5398,1.5719,102086.87,1584230399999,171542.817529,1796,42886.22,72597.601736,0
2020-03-15,1.5655,1.7602,1.43,1.5364,197769.12,1584316799999,312107.018075,2179,94177.94,148257.39722,0
2020-03-16,1.5285,1.5285,1.121,1.3236,325402.93,1584403199999,419265.888246,3368,120916.59,158282.570127,0
2020-03-17,1.338,1.4777,1.29,1.3753,86099.94,1584489599999,121020.867364,1172,41279.17,57948.725612,0
2020-03-18,1.3894,1.4216,1.289,1.3992,108487.62,1584575999999,146039.135426,1528,40550.32,54748.349577,0
2020-03-19,1.4048,1.7417,1.361,1.6412,184080.34,1584662399999,290109.823251,2880,74646.67,117612.59644,0
2020-03-20,1.6427,1.8799,1.4884,1.6601,248578.4,1584748799999,429473.494034,3430,131082.91,226122.239718,0
2020-03-21,1.6815,1.7581,1.5845,1.6612,92096.07,1584835199999,153829.437953,1697,35670.62,59977.415262,0
2020-03-22,1.6574,1.7165,1.4594,1.4772,132621.84,1584921599999,209855.505698,1745,60048.22,94659.300424,0
2020-03-23,1.4701,1.6961,1.4459,1.6797,91040.52,1585007999999,144577.688026,1458,51651.66,81345.011127,0
2020-03-24,1.698,1.7841,1.6324,1.7607,68429.09,1585094399999,118051.560846,1139,22570.67,39079.947012,0
2020-03-25,1.7631,1.7924,1.6531,1.7188,54157.57,1585180799999,92600.39769,994,21482.48,36918.557511,0
2020-03-26,1.7247,1.7636,1.7015,1.7635,48623.45,1585267199999,83734.774304,669,22291.01,38504.477328,0
2020-03-27,1.7636,1.7859,1.5745,1.5878,60179.39,1585353599999,101503.370421,962,23367.97,39686.597407,0
2020-03-28,1.5807,1.6123,1.51,1.5667,49711.42,1585439999999,77917.829554,866,18701.89,29266.713759,0
2020-03-29,1.57,1.5815,1.4664,1.4664,41929.58,1585526399999,64585.481362,480,26827.03,41538.789042,0
2020-03-30,1.4766,1.6601,1.4603,1.6138,43782.23,1585612799999,69909.181493,564,25126.27,40264.555825,0
2020-03-31,1.6164,1.6414,1.5532,1.6099,28685.59,1585699199999,45802.552895,436,7604.96,12182.361917,0
2020-04-01,1.6056,1.632,1.5239,1.6174,92406.73,1585785599999,146223.52682,893,23864.13,37735.404904,0
2020-04-02,1.6148,1.7963,1.5989,1.6645,154484.65,1585871999999,259762.956634,2015,102170.6,170895.736555,0
2020-04-03,1.6627,1.78,1.653,1.679,99777.2,1585958399999,169306.103613,1946,36591.63,62075.831546,0
2020-04-04,1.6775,1.7306,1.657,1.6999,51171.95,1586044799999,86018.320273,1410,9593.52,16252.06317,0
2020-04-05,1.702,1.7083,1.6646,1.6654,13922.51,1586131199999,23443.523496,555,5072.84,8551.934846,0
