timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-04-02,0.04347,0.06,0.03702,0.044,94340101.1,1617407999999,4212348.786919,19890,40931270.3,1835524.142843,0
2021-04-03,0.04396,0.05,0.043,0.04413,231018317.3,1617494399999,10728867.234636,65495,102255274.6,4753275.348527,0
2021-04-04,0.04405,0.049,0.04331,0.0457,144509988.2,1617580799999,6694473.017442,54046,60938214.3,2824618.915604,0
2021-04-05,0.04552,0.056,0.04401,0.05209,245920812.9,1617667199999,12050256.361738,102786,106823626.5,5237146.213587,0
2021-04-06,0.05209,0.05574,0.04616,0.05064,211519831.1,1617753599999,10901746.855755,99711,99169785.9,5114551.818502,0
2021-04-07,0.05052,0.05228,0.03816,0.04302,182220254.2,1617839999999,8271782.554922,65627,89451492.1,4050862.338972,0
2021-04-08,0.04302,0.0479,0.04205,0.04523,124106547.2,1617926399999,5574563.977438,39738,63420352.0,2848199.679297,0
2021-04-09,0.04533,0.04699,0.04225,0.04368,100206243.6,1618012799999,4431591.251826,33014,48684023.4,2153770.331227,0
2021-04-10,0.04367,0.0452,0.0402,0.04199,120366335.5,1618099199999,5166810.774602,36531,52788796.3,2269120.000774,0
2021-04-11,0.04199,0.04412,0.04105,0.04264,91538784.4,1618185599999,3917892.773148,32897,41644326.9,1785949.98459,0
2021-04-12,0.04269,0.04298,0.03957,0.04036,101659102.0,1618271999999,4190500.94335,33135,46219972.0,1908257.157423,0
2021-04-13,0.0405,0.04236,0.03854,0.04128,139747477.1,1618358399999,5648979.654765,40962,61547533.5,2491324.998475,0
2021-04-14,0.04128,0.052,0.04019,0.04775,318152478.6,1618444799999,14962701.72965,90915,161740478.1,7623459.296888,0
2021-04-15,0.04775,0.04968,0.04444,0.04857,154384930.0,1618531199999,7293551.859659,43695,73105510.9,3457183.832018,0
2021-04-16,0.04858,0.077,0.0474,0.06643,1002583639.2,1618617599999,62538296.036567,212972,492864920.1,30779483.343912,0
2021-04-17,0.06656,0.0797,0.05592,0.06234,762303053.5,1618703999999,52437175.957602,180315,367722631.6,25399873.992544,0
2021-04-18,0.06239,0.065,0.04399,0.05635,498611466.3,1618790399999,27677119.431098,94081,236996165.0,13157306.687008,0
2021-04-19,0.05635,0.0675,0.05409,0.05889,488381162.9,1618876799999,29696760.875509,94920,236250913.3,14356546.547548,0
2021-04-20,0.05895,0.0629,0.04851,0.05865,445996282.8,1618963199999,25592652.137901,89685,209902886.2,12076603.720999,0
2021-04-21,0.05866,0.069,0.05701,0.05835,544282654.8,1619049599999,34315426.703536,114379,261405698.0,16505927.791495,0
2021-04-22,0.05835,0.06314,0.04732,0.04976,478317031.4,1619135999999,26829863.236516,107163,218536569.2,12285305.007413,0
2021-04-23,0.04977,0.05068,0.03768,0.046,486588477.2,1619222399999,21446363.447878,68875,222944081.3,9847425.351722,0
2021-04-24,0.04561,0.04832,0.04095,0.04185,288678966.3,1619308799999,12622216.959422,50512,143334229.5,6258199.162862,0
2021-04-25,0.04186,0.04395,0.0345,0.03818,365174661.9,1619395199999,14505645.341038,55548,186158734.5,7409489.486454,0
2021-04-26,0.03821,0.05136,0.0375,0.04913,384094317.8,1619481599999,17964487.665252,76932,199419503.5,9310396.530238,0
2021-04-27,0.04913,0.0538,0.04829,0.05181,208190092.1,1619567999999,10622957.420744,49997,99608405.8,5085441.004024,0
2021-04-28,0.05185,0.052,0.0451,0.0485,224679163.2,1619654399999,10894460.500398,51685,110826761.2,5362697.194708,0
2021-04-29,0.0485,0.05065,0.04467,0.04692,201544051.9,1619740799999,9629251.783569,43857,89642552.8,4271417.78787,0
2021-04-30,0.04692,0.05843,0.04612,0.05668,357380759.2,1619827199999,18716905.924934,74814,169562604.1,8875552.039309,0
2021-05-01,0.0567,0.0575,0.0525,0.05413,219187184.2,1619913599999,12016636.245811,53982,111495277.9,6109794.614062,0
2021-05-02,0.05412,0.05568,0.0511,0.05315,194583969.2,1619999999999,10413986.560959,44687,100511208.0,5386518.94516,0
2021-05-03,0.05315,0.0569,0.05123,0.0524,167188987.1,1620086399999,9074474.913245,43652,81934753.2,4450811.953847,0
2021-05-04,0.05245,0.05279,0.0457,0.04635,265504131.7,1620172799999,13062065.504154,65131,133455360.8,6570849.28606,0
2021-05-05,0.04624,0.06797,0.046,0.06614,828767973.5,1620259199999,50342649.633686,195661,405263476.7,24711532.253616,0
